Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Bacolod City (BCD)-Cebu (CEB),2026-05-01,10285.03193703653,8133.4482194582915,12436.615654614769,442.1872723530248,-904.6262254700944,1789.000770176144
Bacolod City (BCD)-Cebu (CEB),2026-06-01,10490.58252840579,8338.763958627456,12642.401098184124,442.1934449064347,-904.6200532073003,1789.0069430201697
Bacolod City (BCD)-Davao City (DVO),2025-07-01,2210.7813475033345,624.9639626039268,3796.598732402742,2210.7813475033345,624.9639626039268,3796.598732402742
Bacolod City (BCD)-Davao City (DVO),2025-08-01,2354.7980633692364,350.6148765250282,4358.981250213445,2354.7980633692364,350.6148765250282,4358.981250213445
Bacolod City (BCD)-Davao City (DVO),2025-09-01,1363.895243606139,-852.8040169454721,3580.59450415775,1363.895243606139,-852.8040169454721,3580.59450415775
Bacolod City (BCD)-Davao City (DVO),2025-10-01,3030.122022233817,695.7104273116779,5364.533617155956,3030.122022233817,695.7104273116779,5364.533617155956
Bacolod City (BCD)-Davao City (DVO),2025-11-01,4260.896662810243,1858.9331563608534,6662.860169259631,4260.896662810243,1858.9331563608534,6662.860169259631
Bacolod City (BCD)-Davao City (DVO),2025-12-01,4565.931846032381,2124.5153846135,7007.348307451262,4565.931846032381,2124.5153846135,7007.348307451262
Bacolod City (BCD)-Davao City (DVO),2026-01-01,4397.876999648017,1933.1991019370384,6862.554897358996,4397.876999648017,1933.1991019370384,6862.554897358996
Bacolod City (BCD)-Davao City (DVO),2026-02-01,4351.674965108391,1873.2086795420764,6830.141250674706,4351.674965108391,1873.2086795420764,6830.141250674706
Bacolod City (BCD)-Davao City (DVO),2026-03-01,4302.329368050742,1815.664657933648,6788.994078167836,4302.329368050742,1815.664657933648,6788.994078167836
Bacolod City (BCD)-Davao City (DVO),2026-04-01,1902.6201605706453,-588.9280585487429,4394.168379690033,1902.6201605706453,-588.9280585487429,4394.168379690033
Bacolod City (BCD)-Davao City (DVO),2026-05-01,1993.5834715347735,-500.8767839523746,4488.043727021922,1993.5834715347735,-500.8767839523746,4488.043727021922
Bacolod City (BCD)-Davao City (DVO),2026-06-01,1879.1437807919076,-617.0540208036125,4375.3415823874275,1879.1437807919076,-617.0540208036125,4375.3415823874275
Bacolod City (BCD)-Manila (MNL),2025-07-01,77066.746,62602.77281814645,91530.71918185355,34903.75,26877.431270636866,42930.068729363134
Bacolod City (BCD)-Manila (MNL),2025-08-01,77066.746,56611.59896042198,97521.89303957802,34903.75,23552.82119700546,46254.67880299454
Bacolod City (BCD)-Manila (MNL),2025-09-01,77066.746,52014.409569715965,102119.08243028403,34903.75,21001.758163001374,48805.741836998626
Bacolod City (BCD)-Manila (MNL),2025-10-01,77066.746,48138.7996362929,105994.6923637071,34903.75,18851.112541273727,50956.38745872627
Bacolod City (BCD)-Manila (MNL),2025-11-01,77066.746,44724.31874064152,109409.17325935847,34903.75,16956.355712064287,52851.14428793571
Bacolod City (BCD)-Manila (MNL),2025-12-01,77066.746,41637.39205115876,112496.09994884123,34903.75,15243.364600116485,54564.13539988351
Bacolod City (BCD)-Manila (MNL),2026-01-01,77066.746,38798.66999090789,115334.82200909211,34903.75,13668.106698765205,56139.3933012348
Bacolod City (BCD)-Manila (MNL),2026-02-01,77066.746,36156.45192084395,117977.04007915605,34903.75,12201.89239401093,57605.60760598907
Bacolod City (BCD)-Manila (MNL),2026-03-01,77066.746,33674.82645443934,120458.66554556065,34903.75,10824.79381191059,58982.70618808941
Bacolod City (BCD)-Manila (MNL),2026-04-01,77066.746,31327.646729749962,122805.84527025004,34903.75,9522.3015887439,60285.198411256104
Bacolod City (BCD)-Manila (MNL),2026-05-01,77066.746,29095.173978028834,125038.31802197116,34903.75,8283.462326900368,61524.037673099636
Bacolod City (BCD)-Manila (MNL),2026-06-01,77066.746,26962.073139431945,127171.41886056805,34903.75,7099.7663260027475,62707.73367399725
Busuanga (USU)-Cebu (CEB),2025-07-01,7679.293985354032,6397.24446784323,8961.343502864835,63.03038089148746,15.324691440093588,110.73607034288133
Busuanga (USU)-Cebu (CEB),2025-08-01,6964.143990721228,5682.094473210426,8246.19350823203,25.1667286775533,-23.070178005937166,73.40363536104377
