Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_MAE,Total_RMSE,Total_MAPE,CebuPac_MAE,CebuPac_RMSE,CebuPac_MAPE,Total_Model,Total_AIC,Total_Forecast_Avg,CebuPac_Model,CebuPac_AIC,CebuPac_Forecast_Avg
Manila (MNL)-Legazpi (DRP),36,23321.183277777774,12643.272166666668,54.21368211069356,,,,17406.009791666667,18146.272084624918,487.57335815236627,"SARIMA(3, 0, 0)(0, 1, 0, 12)",489.8142548180168,36640.703368807706,"SARIMA(1, 1, 0)(0, 0, 0, 12)",657.6732210281755,-1427.1059347665948
Manila (MNL)-Manila (MNL),34,985.8126470588235,468.41741176470583,47.515865531065295,321.95038128909084,333.6504728648361,191.95384409592373,647.8689196785797,657.6006680176549,331.571685318331,"SARIMA(1, 0, 0)(0, 1, 0, 12)",392.1203646372729,2077.4611463580854,"SARIMA(0, 0, 1)(0, 1, 0, 12)",372.4937621712438,1520.4709779681364
Manila (MNL)-Ozamiz (OZC),39,10561.736974358977,6587.886307692309,62.37502717295369,7422.206000000001,7838.177613338703,467.6551330897834,6269.998,6380.818391633787,182.96060426540276,"SARIMA(2, 0, 0)(0, 0, 0, 12)",686.562076492237,-1080.9305955510406,"SARIMA(2, 0, 0)(0, 0, 0, 12)",660.1354153708552,5500.309816890804
Manila (MNL)-Pagadian (PAG),39,8243.84907692308,8243.84907692308,100.0,4193.124123164748,4881.014757867397,258.40622627898927,4193.124123164748,4881.014757867397,258.40622627898927,"SARIMA(1, 0, 1)(0, 0, 0, 12)",696.9389185033059,6495.794852709404,"SARIMA(1, 0, 1)(0, 0, 0, 12)",696.9389185033059,6495.794852709404
Manila (MNL)-Panglao (TAG),39,41078.86235897436,20654.417282051283,50.27991549902059,35115.051999999996,35867.09303548466,487.20921428782253,11240.317333333332,12458.793999570478,230.8448747556322,"SARIMA(2, 0, 2)(2, 1, 0, 12)",552.796393634227,-4408.099757652383,"SARIMA(1, 0, 0)(0, 0, 0, 12)",772.7170724805864,2534.1351559457703
Manila (MNL)-Puerto Princesa City (PPS),39,52986.64369230769,25012.110974358973,47.20455803844412,42171.382933333334,44944.57558819418,405.03765588809745,17899.67396922552,18565.40773972226,449.06605618365376,"SARIMA(2, 0, 0)(1, 0, 1, 12)",822.6094528347371,26224.350827374557,"SARIMA(2, 0, 0)(1, 0, 0, 12)",760.38128979201,13139.409396177418
Manila (MNL)-Roxas City (RXS),39,13478.762512820513,7515.325230769231,55.75678942054899,6691.597999999998,8181.989162715139,197.94431217963796,4735.621999999999,5262.031334696895,276.84923304285775,"SARIMA(1, 0, 0)(0, 0, 0, 12)",722.5498168540466,2082.3225428853398,"SARIMA(1, 0, 1)(0, 0, 0, 12)",689.2786526178835,5122.970863209117
Manila (MNL)-Tacloban (TAC),38,41130.130263157895,19980.51836842105,48.578786987987,15765.887333333334,23672.207681955115,254.7040955949349,5854.722000000002,9457.382040183636,146.53278602365177,"SARIMA(0, 1, 0)(2, 1, 0, 12)",531.6591083284736,4268.737094715248,"SARIMA(0, 0, 1)(0, 0, 0, 12)",752.872266103939,18249.73786019502
Manila (MNL)-Tuguegarao (TUG),38,11725.160789473686,9323.010157894736,79.51285551891544,5091.885838238647,7527.555772445146,219.94592089780963,3561.776,5583.431463297818,259.1014427097853,"SARIMA(1, 0, 0)(0, 1, 0, 12)",496.4866747271481,11841.917889381215,"SARIMA(1, 0, 0)(1, 1, 1, 12)",481.80226506353193,7870.161085513978
Manila (MNL)-Virac (VRC),37,4578.420162162163,4578.420162162163,100.0,2094.1362802697095,2582.295460625064,168.6703378329229,2094.1362802697095,2582.295460625064,168.6703378329229,"SARIMA(1, 1, 0)(0, 1, 0, 12)",390.9151724037923,2387.9554197184043,"SARIMA(1, 1, 0)(0, 1, 0, 12)",390.9151724037923,2387.9554197184043
