Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Cebgo,IAO-CEB,2022.0,9,1519.2,3.89,5128.87,5244.71,3217.98,175,1145
Philippine Airlines,IAO-CEB,2022.0,9,1098.88,30.68,5128.87,5244.71,3217.98,175,1145
Philippine Airlines,IAO-MNL,2022.0,9,1428.544,30.68,10000.0,5244.71,3843.84,175,3992
Cebgo,ILO-CEB,2022.0,9,1276.128,3.89,10000.0,3253.12,3217.98,469,1145
AirAsia,ILO-MNL,2022.0,9,15446.84,16.45,3528.5,3253.12,3843.84,469,3992
Cebu Pacific,ILO-MNL,2022.0,9,8369.104000000001,48.98,3528.5,3253.12,3843.84,469,3992
Philippine Airlines,ILO-MNL,2022.0,9,12013.344000000001,30.68,3528.5,3253.12,3843.84,469,3992
AirAsia,KLO-MNL,2022.0,9,7283.759999999999,16.45,7721.88,7795.88,3843.84,106,3992
Cebu Pacific,KLO-MNL,2022.0,9,1098.8880000000001,48.98,7721.88,7795.88,3843.84,106,3992
Philippine Airlines,LAO-MNL,2022.0,9,1016.464,30.68,10000.0,10000.0,3843.84,22,3992
Cebu Pacific,LGP-MNL,2022.0,9,7064.280000000001,48.98,5048.44,5011.5,3843.84,194,3992
Philippine Airlines,LGP-MNL,2022.0,9,5798.2080000000005,30.68,5048.44,5011.5,3843.84,194,3992
AirAsia,MNL-BCD,2022.0,9,4469.58,16.45,3518.89,3843.84,3604.7,3992,339
Cebu Pacific,MNL-BCD,2022.0,9,7872.832,48.98,3518.89,3843.84,3604.7,3992,339
Philippine Airlines,MNL-BCD,2022.0,9,7777.808,30.68,3518.89,3843.84,3604.7,3992,339
Philippine Airlines,MNL-BSO,2022.0,9,879.104,30.68,10000.0,3843.84,10000.0,3992,16
Cebu Pacific,MNL-BXU,2022.0,9,7535.232,48.98,6715.67,3843.84,6253.79,3992,137
Philippine Airlines,MNL-BXU,2022.0,9,1968.2880000000002,30.68,6715.67,3843.84,6253.79,3992,137
