Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_Model,Total_AIC,CebuPac_Model,CebuPac_AIC,Total_Forecast_Avg,CebuPac_Forecast_Avg
Cebu (CEB)-Puerto Princesa City (PPS),39,5703.773743589743,4513.3146153846155,79.12857028133277,"SARIMA(0, 1, 0)(0, 0, 0, 12)",676.0654016050785,"SARIMA(0, 1, 0)(0, 0, 0, 12)",672.4931111863114,979.0400000000003,979.0400000000003
Cebu (CEB)-Surigao (SUG),35,1299.270857142857,6.479314285714286,0.49868849517355673,"SARIMA(1, 0, 0)(1, 1, 0, 12)",374.1904713778065,"SARIMA(0, 0, 0)(0, 1, 0, 12)",234.00849603594327,960.8156640374872,18.898
Cebu (CEB)-Zamboanga (ZAM),28,2975.363857142857,2961.5849999999996,99.53690177724721,"SARIMA(1, 0, 0)(0, 0, 0, 12)",491.3595012965218,"SARIMA(1, 0, 0)(0, 0, 0, 12)",491.78719885290303,2654.716326204784,2649.331177640657
Cebu (CEB)-nan,33,302.3841818181818,97.55872727272728,32.26317153434554,"SARIMA(0, 0, 0)(0, 1, 0, 12)",297.64055961503453,"SARIMA(0, 0, 0)(0, 0, 0, 12)",430.3648235083532,342.3865,97.55872727272727
Davao City (DVO)-Bacolod City (BCD),36,2936.115,2936.115,100.0,"SARIMA(0, 1, 0)(0, 1, 0, 12)",374.17129217472024,"SARIMA(0, 1, 0)(0, 1, 0, 12)",374.17129217472024,2127.920166666668,2127.920166666668
Davao City (DVO)-Cebu (CEB),39,19734.209743589752,14066.784051282053,71.28121284842103,"SARIMA(2, 0, 0)(0, 0, 0, 12)",775.2961771511305,"SARIMA(1, 0, 0)(0, 0, 0, 12)",766.5026068738604,17503.117228695963,11540.599264805982
Davao City (DVO)-Manila (MNL),39,94255.84289743588,49721.83125641026,52.751988341470636,"SARIMA(1, 1, 0)(0, 1, 0, 12)",577.5591636894223,"SARIMA(0, 1, 0)(1, 1, 0, 12)",557.3566068918465,-17355.361327195293,-23905.935487367795
Davao City (DVO)-Panglao (TAG),39,2698.8883589743596,1687.7295897435897,62.53424985629884,"SARIMA(0, 1, 0)(0, 0, 0, 12)",626.4141045194831,"SARIMA(0, 1, 0)(0, 0, 0, 12)",615.7530311376156,388.23999999999995,388.23999999999995
Del Carmin (IAO)-Cebu (CEB),39,7783.504512820512,12.494769230769233,0.16052883646676908,"SARIMA(1, 0, 1)(1, 1, 0, 12)",484.2328470650929,"SARIMA(0, 0, 0)(0, 0, 0, 12)",409.80740503418355,5307.6443257050405,12.494769230769235
Dipolog (DPL)-Manila (MNL),39,9383.878923076923,5747.714769230769,61.25094767682834,"SARIMA(0, 0, 2)(0, 0, 0, 12)",702.2998757886123,"SARIMA(1, 0, 1)(0, 0, 0, 12)",676.0354568718446,8542.599660977407,4526.285682172758
