Window,RMSE,MAE,R2,MAPE
3,29637.2857350261,20442.811313476563,-0.04890338838100433,147.625983543396
6,36367.7546301813,25503.755517578124,-0.8997034323215485,177.7246633529663
12,42767.49795687304,30843.498984375,-2.0466907513141632,250.36439640045165
