Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Cluster_Scenario1,Cluster_Scenario2
CEB-CGY,CEB,CGY,2023.7837837837837,6.594594594594595,5924.761783783783,60.02513513513513,4995.93054054054,3240.667027027027,3336.0097297297298,2008.1081081081081,495.2972972972973,0.0056,0.072,0.5096,0.0369,1.891,1.9531,0.0813,0.0014,2606.0,1573.0,7517450.0,2941319.0,386.0,135.0,1.0,1,1
CEB-CRK,CEB,CRK,2023.7837837837837,6.594594594594595,5305.433783783784,98.25378378378377,8955.221081081081,3240.667027027027,7781.164594594594,2008.1081081081081,176.67567567567568,0.0056,0.0065,0.5096,0.1865,1.891,1.2661,0.0813,0.1108,2606.0,3779.0,7517450.0,5691259.0,386.0,243.0,1.0,1,1
CEB-CRM,CEB,CRM,2023.7837837837837,6.594594594594595,0.0,0.0,1891.8918918918919,3240.667027027027,9729.72972972973,2008.1081081081081,17.783783783783782,0.0056,0.058600000000000006,0.5096,0.0541,1.891,1.9967,0.0813,0.0006,2606.0,1528.0,7517450.0,1695713.0,386.0,103.0,0.0,1,1
CEB-CYP,CEB,CYP,2023.7837837837837,6.594594594594595,1088.8112432432433,97.29729729729729,9729.72972972973,3240.667027027027,5118.798378378378,2008.1081081081081,30.89189189189189,0.0056,0.0008999999999999999,0.5096,0.3387,1.891,1.9297,0.0813,0.0019,2606.0,1528.0,7517450.0,1695713.0,386.0,103.0,0.972972972972973,1,1
CEB-DGT,CEB,DGT,2023.7837837837837,6.594594594594595,1097.014054054054,78.37837837837837,7587.139729729729,3240.667027027027,5218.503783783784,2008.1081081081081,177.9189189189189,0.0056,0.0,0.5096,0.1754,1.891,1.9427,0.0813,0.0084,2606.0,2606.0,7517450.0,7517450.0,386.0,386.0,0.7837837837837838,1,1
CEB-DPL,CEB,DPL,2023.7837837837837,6.594594594594595,490.82075675675674,50.87432432432432,4983.544594594595,3240.667027027027,5162.585945945946,2008.1081081081081,72.4054054054054,0.0056,0.0248,0.5096,0.2653,1.891,1.9408999999999998,0.0813,0.0123,2606.0,1263.0,7517450.0,1953463.0,386.0,64.0,0.5135135135135135,1,1
CEB-DRP,CEB,DRP,2023.7837837837837,6.594594594594595,961.1137297297297,64.86486486486487,6216.163513513513,3240.667027027027,4778.798918918919,2008.1081081081081,170.16216216216216,0.0056,2.0,0.5096,0.0165,1.891,1.3268,0.0813,0.0008,2606.0,1909.0,7517450.0,4631579.0,386.0,93.0,0.6486486486486487,1,1
CEB-DVO,CEB,DVO,2023.7837837837837,6.594594594594595,15218.39427027027,68.11297297297297,5988.516216216216,3240.667027027027,5105.256756756757,2008.1081081081081,783.7297297297297,0.0056,0.6037,0.5096,0.4554,1.891,1.7601,0.0813,0.1592,2606.0,1837.0,7517450.0,4116016.0,386.0,205.0,1.0,1,1
CEB-ENI,CEB,ENI,2023.7837837837837,6.594594594594595,111.8018918918919,8.108108108108109,1081.081081081081,3240.667027027027,2428.8813513513514,2008.1081081081081,23.594594594594593,0.0056,0.014099999999999998,0.5096,0.2391,1.891,1.9942,0.0813,0.0021,2606.0,1095.0,7517450.0,2810208.0,386.0,51.0,0.08108108108108109,0,1
CEB-GES,CEB,GES,2023.7837837837837,6.594594594594595,4054.8745945945943,78.98513513513512,7500.074594594595,3240.667027027027,5577.708648648649,2008.1081081081081,197.56756756756758,0.0056,0.0677,0.5096,0.0731,1.891,1.8291999999999997,0.0813,0.1054,2606.0,1625.0,7517450.0,1705910.0,386.0,82.0,0.972972972972973,1,1
CEB-IAO,CEB,IAO,2023.7837837837837,6.594594594594595,4154.717189189189,55.5445945945946,5053.073243243243,3240.667027027027,5256.712432432432,2008.1081081081081,240.56756756756758,0.0056,0.0426,0.5096,0.0,1.891,1.977,0.0813,0.0025,2606.0,920.0,7517450.0,1728856.0,386.0,47.0,1.0,1,1
CEB-ILO,CEB,ILO,2023.7837837837837,6.594594594594595,4255.811351351351,55.030270270270265,5104.361081081081,3240.667027027027,3840.8597297297297,2008.1081081081081,617.081081081081,0.0056,2.0,0.5096,0.001,1.891,1.9148999999999998,0.0813,0.0007,2606.0,2618.0,7517450.0,5909568.0,386.0,147.0,1.0,1,1
CEB-MBT,CEB,MBT,2023.7837837837837,6.594594594594595,246.56108108108108,32.87081081081081,3440.0589189189186,3240.667027027027,4791.424054054054,2008.1081081081081,7.621621621621622,0.0056,0.0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606.0,1909.0,7517450.0,4631579.0,386.0,93.0,0.35135135135135137,1,1
CEB-MNL,CEB,MNL,2023.7837837837837,6.594594594594595,53228.27448648649,41.483783783783785,3600.318108108108,3240.667027027027,3733.60027027027,2008.1081081081081,5801.648648648648,0.0056,0.1691,0.5096,0.5725,1.891,1.9890999999999999,0.0813,0.1717,2606.0,4565.0,7517450.0,7348669.0,386.0,1351.0,1.0,2,0
CEB-MPH,CEB,MPH,2023.7837837837837,6.594594594594595,7963.508108108108,68.37756756756757,5937.174594594594,3240.667027027027,4068.8778378378383,2008.1081081081081,642.2162162162163,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606.0,2618.0,7517450.0,5909568.0,386.0,147.0,1.0,0,1
CEB-OZC,CEB,OZC,2023.7837837837837,6.594594594594595,1141.6138378378378,68.87675675675676,6796.974324324324,3240.667027027027,4652.915405405405,2008.1081081081081,96.78378378378379,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.007799999999999999,2606.0,1573.0,7517450.0,2941319.0,386.0,135.0,0.918918918918919,1,1
CEB-PAG,CEB,PAG,2023.7837837837837,6.594594594594595,2050.5852972972975,100.0,10000.0,3240.667027027027,6919.556486486486,2008.1081081081081,87.70270270270271,0.0056,0.1565,0.5096,0.0837,1.891,1.9398999999999997,0.0813,0.0091,2606.0,1263.0,7517450.0,1953463.0,386.0,64.0,1.0,1,1
CEB-PPS,CEB,PPS,2023.7837837837837,6.594594594594595,4730.8170270270275,55.7672972972973,7236.411891891892,3240.667027027027,3870.23027027027,2008.1081081081081,429.3783783783784,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606.0,1095.0,7517450.0,2810208.0,386.0,51.0,0.8648648648648649,1,1
CEB-SJI,CEB,SJI,2023.7837837837837,6.594594594594595,4.6307027027027035,6.306216216216216,690.6967567567567,3240.667027027027,2130.3786486486483,2008.1081081081081,3.4324324324324325,0.0056,0.22500000000000003,0.5096,0.0171,1.891,1.9857,0.0813,0.0183,2606.0,1095.0,7517450.0,2810208.0,386.0,51.0,0.08108108108108109,0,1
CEB-SUG,CEB,SUG,2023.7837837837837,6.594594594594595,1159.9271351351351,85.48513513513512,8292.44027027027,3240.667027027027,8280.032162162162,2008.1081081081081,19.945945945945947,0.0056,0.028199999999999996,0.5096,0.0533,1.891,1.8999000000000001,0.0813,0.0128,2606.0,920.0,7517450.0,1728856.0,386.0,47.0,0.8918918918918919,1,1
CEB-TAC,CEB,TAC,2023.7837837837837,6.594594594594595,1282.6830810810811,42.383783783783784,5519.395945945946,3240.667027027027,3548.258108108108,2008.1081081081081,350.6216216216216,0.0056,0.0177,0.5096,0.1266,1.891,1.7168,0.0813,0.1699,2606.0,1528.0,7517450.0,1695713.0,386.0,103.0,1.0,1,1
CEB-TAG,CEB,TAG,2023.7837837837837,6.594594594594595,5.246486486486487,2.7027027027027026,540.5405405405405,3240.667027027027,3962.4800000000005,2008.1081081081081,296.6756756756757,0.0056,0.0022,0.5096,0.746,1.891,1.9782,0.0813,0.0036999999999999997,2606.0,2606.0,7517450.0,7517450.0,386.0,386.0,0.02702702702702703,0,1
CEB-USU,CEB,USU,2023.7837837837837,6.594594594594595,1637.5563243243244,37.00783783783784,5482.765135135135,3240.667027027027,4928.383513513513,2008.1081081081081,158.67567567567568,0.0056,0.0053,0.5096,0.0456,1.891,1.9756999999999998,0.0813,0.0016,2606.0,1095.0,7517450.0,2810208.0,386.0,51.0,1.0,1,1
CEB-ZAM,CEB,ZAM,2023.7837837837837,6.594594594594595,2217.384972972973,67.47108108108108,7266.4445945945945,3240.667027027027,6137.459459459459,2008.1081081081081,61.54054054054054,0.0056,0.0394,0.5096,0.0863,1.891,1.405,0.0813,0.2669,2606.0,1263.0,7517450.0,1953463.0,386.0,64.0,0.6756756756756757,1,1
CGM-CEB,CGM,CEB,2023.7837837837837,6.594594594594595,1159.3595675675676,56.75675675675676,5675.675675675676,5675.675675675676,3082.4816216216213,18.91891891891892,2071.5405405405404,0.0017,0.0056,0.0699,0.5096,1.9936,1.891,0.0058,0.0813,1573.0,2606.0,2941319.0,7517450.0,135.0,386.0,0.5675675675675675,0,1
CGY-CEB,CGY,CEB,2023.7837837837837,6.594594594594595,5982.842918918919,60.582702702702704,5030.009189189189,3384.2959459459457,3082.4816216216213,526.972972972973,2071.5405405405404,0.072,0.0056,0.0369,0.5096,1.9531,1.891,0.0014,0.0813,1573.0,2606.0,2941319.0,7517450.0,135.0,386.0,1.0,0,1
CGY-DVO,CGY,DVO,2023.7837837837837,6.594594594594595,928.3232432432433,97.29729729729729,9665.038378378378,3384.2959459459457,5105.256756756757,526.972972972973,783.7297297297297,0.072,0.6037,0.0369,0.4554,1.9531,1.7601,0.0014,0.1592,1573.0,1837.0,2941319.0,4116016.0,135.0,205.0,0.972972972972973,0,1
CGY-ILO,CGY,ILO,2023.7837837837837,6.594594594594595,1354.6444324324323,45.945945945945944,4594.594594594595,3384.2959459459457,3840.8597297297297,526.972972972973,617.081081081081,0.072,2.0,0.0369,0.001,1.9531,1.9148999999999998,0.0014,0.0007,1573.0,2618.0,2941319.0,5909568.0,135.0,147.0,0.4594594594594595,0,1
CGY-MNL,CGY,MNL,2023.7837837837837,6.594594594594595,27444.587567567567,46.6027027027027,3936.7005405405407,3384.2959459459457,3733.60027027027,526.972972972973,5801.648648648648,0.072,0.1691,0.0369,0.5725,1.9531,1.9890999999999999,0.0014,0.1717,1573.0,4565.0,2941319.0,7348669.0,135.0,1351.0,1.0,2,0
CGY-TAC,CGY,TAC,2023.7837837837837,6.594594594594595,4.092,2.7027027027027026,270.27027027027026,3384.2959459459457,3548.258108108108,526.972972972973,350.6216216216216,0.072,0.0177,0.0369,0.1266,1.9531,1.7168,0.0014,0.1699,1573.0,1528.0,2941319.0,1695713.0,135.0,103.0,0.02702702702702703,0,1
CRK-BSO,CRK,BSO,2023.7837837837837,6.594594594594595,0.0,0.0,4054.054054054054,7287.679459459459,9729.72972972973,151.0,32.62162162162162,0.0065,0.0348,0.1865,0.2377,1.2661,1.996,0.1108,0.0006,3779.0,1216.0,5691259.0,1113791.0,243.0,46.0,0.0,0,1
CRK-CEB,CRK,CEB,2023.7837837837837,6.594594594594595,5767.751891891892,95.86486486486487,8531.224054054055,7287.679459459459,3082.4816216216213,151.0,2071.5405405405404,0.0065,0.0056,0.1865,0.5096,1.2661,1.891,0.1108,0.0813,3779.0,2606.0,5691259.0,7517450.0,243.0,386.0,1.0,0,1
