Fold,Fold,Fold,MAE,MAE,MAE,RMSE,RMSE,RMSE,R2,R2,R2,MAPE,MAPE,MAPE
mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
2.0,1.0,3,431521.27247222216,177333.65372484486,3,439544.83599939296,171857.5048094396,3,-80.20834749194955,108.16214212825801,3,35.03109423843585,16.813264529454273,3
2.0,1.0,3,168230.35370277785,82119.45470268035,3,175536.54924163097,90401.80150586646,3,-7.845487009504159,7.000406185894635,3,13.12996020742361,5.109979269225861,3
