Fold,MAE,RMSE,R2,MAPE
1,326632.49706911336,336260.8386596402,-61.12303016897824,28.6788190218555
2,178217.9736414725,222066.5299103415,-23.057965120983503,15.341997497697454
3,340586.62705770595,465184.31515886885,-283.07843729450184,28.360052965961174
4,720110.09809662,871189.6557734367,-114.51940131934406,59.54560794446911
5,658039.6322763562,777751.3137064625,-67.40994576103407,53.07071328368357
6,1434438.6281599484,2016625.3689469544,-186.83472572880206,109.41562668653424
7,390013.6629247786,488536.3546517122,-32.415742301457094,27.341306638681633
