ds,LSTM
2025-01-01,1087955.3558441733
2025-02-01,1068937.154684303
2025-03-01,1053755.3120728226
2025-04-01,1044426.4001433677
2025-05-01,1034474.2201468791
2025-06-01,1024512.7503237075
2025-07-01,1015350.1489499931
2025-08-01,1012681.0231371573
2025-09-01,1010759.671727022
2025-10-01,1009387.6662874488
2025-11-01,1008379.2669300613
2025-12-01,1007675.6192041052
