ds,WMA
2025-01-01,1433426.102
2025-02-01,1450575.0137999998
2025-03-01,1453688.6343
2025-04-01,1448702.0416899999
2025-05-01,1450572.613895
2025-06-01,1450634.6463145
2025-07-01,1450229.51566375
2025-08-01,1450419.674505225
2025-09-01,1450405.6212146375
2025-10-01,1450374.6160916362
2025-11-01,1450392.9293112543
2025-12-01,1450389.9737260453
