,MAE,RMSE,R2,MAPE
Prophet,250174.48381979536,375035.8954350611,-0.31911817575510093,34.94501762066782
WMA,240462.61786847483,392751.593711725,-0.4466848803876067,36.650609560422595
LSTM,355821.7045712067,370197.40317395376,-0.2853007665097973,35.460294594359624
