DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
29 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:23 AM,7:50 AM,29 Sep 2025,5J405,Cebu Pacific
28 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:17 AM,7:50 AM,28 Sep 2025,5J405,Cebu Pacific
26 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),1:15,6:35 AM,6:20 AM,7:50 AM,26 Sep 2025,5J405,Cebu Pacific
24 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:14 AM,7:50 AM,24 Sep 2025,5J405,Cebu Pacific
21 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:33 AM,7:50 AM,21 Sep 2025,5J405,Cebu Pacific
19 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),1:15,6:35 AM,6:27 AM,7:50 AM,19 Sep 2025,5J405,Cebu Pacific
17 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4107),1:15,6:35 AM,6:24 AM,7:50 AM,17 Sep 2025,5J405,Cebu Pacific
14 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),1:15,6:35 AM,6:18 AM,7:50 AM,14 Sep 2025,5J405,Cebu Pacific
12 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:51 AM,7:50 AM,12 Sep 2025,5J405,Cebu Pacific
10 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),1:15,6:35 AM,6:19 AM,7:50 AM,10 Sep 2025,5J405,Cebu Pacific
08 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),1:15,6:35 AM,6:24 AM,7:50 AM,08 Sep 2025,5J405,Cebu Pacific
07 Sep 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),1:15,6:35 AM,6:32 AM,7:50 AM,07 Sep 2025,5J405,Cebu Pacific
05 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:22 AM,7:50 AM,05 Sep 2025,5J405,Cebu Pacific
03 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:23 AM,7:50 AM,03 Sep 2025,5J405,Cebu Pacific
01 Sep 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:35 AM,7:50 AM,01 Sep 2025,5J405,Cebu Pacific
31 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),1:15,6:35 AM,6:24 AM,7:50 AM,31 Aug 2025,5J405,Cebu Pacific
30 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4156),1:15,6:35 AM,6:22 AM,7:50 AM,30 Aug 2025,5J405,Cebu Pacific
28 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4156),1:15,6:35 AM,6:14 AM,7:50 AM,28 Aug 2025,5J405,Cebu Pacific
27 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:25 AM,7:50 AM,27 Aug 2025,5J405,Cebu Pacific
26 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:34 AM,7:50 AM,26 Aug 2025,5J405,Cebu Pacific
25 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),1:15,6:35 AM,6:48 AM,7:50 AM,25 Aug 2025,5J405,Cebu Pacific
24 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:26 AM,7:50 AM,24 Aug 2025,5J405,Cebu Pacific
23 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:20 AM,7:50 AM,23 Aug 2025,5J405,Cebu Pacific
22 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),1:15,6:35 AM,6:24 AM,7:50 AM,22 Aug 2025,5J405,Cebu Pacific
21 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),1:15,6:35 AM,6:29 AM,7:50 AM,21 Aug 2025,5J405,Cebu Pacific
20 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),1:15,6:35 AM,7:00 AM,7:50 AM,20 Aug 2025,5J405,Cebu Pacific
19 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4156),1:15,6:35 AM,7:10 AM,7:50 AM,19 Aug 2025,5J405,Cebu Pacific
18 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),1:15,6:35 AM,6:25 AM,7:50 AM,18 Aug 2025,5J405,Cebu Pacific
17 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:21 AM,7:50 AM,17 Aug 2025,5J405,Cebu Pacific
16 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:30 AM,7:50 AM,16 Aug 2025,5J405,Cebu Pacific
15 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:28 AM,7:50 AM,15 Aug 2025,5J405,Cebu Pacific
14 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:25 AM,7:50 AM,14 Aug 2025,5J405,Cebu Pacific
13 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4107),1:15,6:35 AM,6:40 AM,7:50 AM,13 Aug 2025,5J405,Cebu Pacific
12 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4107),1:15,6:35 AM,6:18 AM,7:50 AM,12 Aug 2025,5J405,Cebu Pacific
11 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:44 AM,7:50 AM,11 Aug 2025,5J405,Cebu Pacific
10 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4330),1:15,6:35 AM,6:41 AM,7:50 AM,10 Aug 2025,5J405,Cebu Pacific
09 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:15 AM,7:50 AM,09 Aug 2025,5J405,Cebu Pacific
08 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:26 AM,7:50 AM,08 Aug 2025,5J405,Cebu Pacific
07 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:25 AM,7:50 AM,07 Aug 2025,5J405,Cebu Pacific
06 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4107),1:15,6:35 AM,6:12 AM,7:50 AM,06 Aug 2025,5J405,Cebu Pacific
05 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:21 AM,7:50 AM,05 Aug 2025,5J405,Cebu Pacific
04 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:31 AM,7:50 AM,04 Aug 2025,5J405,Cebu Pacific
03 Aug 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:17 AM,7:50 AM,03 Aug 2025,5J405,Cebu Pacific
02 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),1:15,6:35 AM,6:24 AM,7:50 AM,02 Aug 2025,5J405,Cebu Pacific
