DATE,FROM,TO,AIRCRAFT,FLIGHT NUMBER,AIRLINE,# OF SEATS,LOAD FACTOR,MONTH
11/5/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,11
11/3/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,11
10/31/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,10
10/29/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8620),PR2941,Philippine Airlines,186,150.288,10
10/27/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8609),PR2941,Philippine Airlines,186,150.288,10
5/17/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,5
3/25/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
3/24/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8398),PR2941,Philippine Airlines,186,147.126,3
3/10/2025 0:00,Not available,Cebu (CEB),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
3/10/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
11/7/2025 0:00,Cebu (CEB),Butuan (BXU),32B,5J4579,Cebu Pacific,230,194.12,11
11/5/2025 0:00,Cebu (CEB),Butuan (BXU),320,5J4579,Cebu Pacific,186,156.984,11
11/3/2025 0:00,Cebu (CEB),Butuan (BXU),320,5J4579,Cebu Pacific,186,156.984,11
10/31/2025 0:00,Cebu (CEB),Butuan (BXU),321,5J4579,Cebu Pacific,230,194.12,10
10/29/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C4268),5J4579,Cebu Pacific,186,156.984,10
10/27/2025 0:00,Cebu (CEB),Butuan (BXU),A21N (RP-C4133),5J4579,Cebu Pacific,230,194.12,10
3/29/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C4160),5J4579,Cebu Pacific,186,151.404,3
3/26/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C4101),5J4579,Cebu Pacific,186,151.404,3
1/17/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C3264),5J4579,Cebu Pacific,186,160.89,1
11/2/2025 0:00,Manila (MNL),Butuan (BXU),32Q,5J787,Cebu Pacific,230,194.12,11
11/1/2025 0:00,Manila (MNL),Butuan (BXU),32Q,5J787,Cebu Pacific,230,194.12,11
10/30/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,194.12,10
10/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,194.12,10
10/27/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4267),5J787,Cebu Pacific,186,156.984,10
10/25/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,194.12,10
10/24/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,194.12,10
10/23/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4124),5J787,Cebu Pacific,230,194.12,10
10/22/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4147),5J787,Cebu Pacific,230,194.12,10
10/21/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4140),5J787,Cebu Pacific,230,194.12,10
10/20/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4133),5J787,Cebu Pacific,230,194.12,10
10/19/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,194.12,10
10/18/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4122),5J787,Cebu Pacific,230,194.12,10
10/17/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,194.12,10
10/16/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4140),5J787,Cebu Pacific,230,194.12,10
10/15/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4147),5J787,Cebu Pacific,230,194.12,10
10/14/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4149),5J787,Cebu Pacific,230,194.12,10
10/13/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4122),5J787,Cebu Pacific,230,194.12,10
10/12/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4149),5J787,Cebu Pacific,230,194.12,10
10/11/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4122),5J787,Cebu Pacific,230,194.12,10
10/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,194.12,10
10/9/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,194.12,10
10/8/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,194.12,10
10/7/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,194.12,10
10/6/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4123),5J787,Cebu Pacific,230,194.12,10
10/5/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,194.12,10
10/4/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4123),5J787,Cebu Pacific,230,194.12,10
10/3/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,194.12,10
10/2/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,194.12,10
10/1/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4121),5J787,Cebu Pacific,230,194.12,10
9/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,194.12,9
9/29/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4133),5J787,Cebu Pacific,230,194.12,9
9/28/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,194.12,9
8/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,186.99,8
8/29/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4127),5J787,Cebu Pacific,230,186.99,8
8/28/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,186.99,8
8/27/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,186.99,8
8/26/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4145),5J787,Cebu Pacific,230,186.99,8
8/25/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4147),5J787,Cebu Pacific,230,186.99,8
8/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/23/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,186.99,8
8/22/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,186.99,8
8/21/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,186.99,8
8/20/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4122),5J787,Cebu Pacific,230,186.99,8
8/19/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/18/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/17/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,186.99,8
8/16/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,186.99,8
8/15/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,186.99,8
8/14/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/13/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4123),5J787,Cebu Pacific,230,186.99,8
8/12/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4149),5J787,Cebu Pacific,230,186.99,8
8/11/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,186.99,8
8/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/9/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4142),5J787,Cebu Pacific,230,186.99,8
8/8/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4120),5J787,Cebu Pacific,230,186.99,8
8/7/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/6/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
8/5/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4145),5J787,Cebu Pacific,230,186.99,8
8/4/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,186.99,8
8/3/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,186.99,8
8/2/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,186.99,8
8/1/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,186.99,8
7/31/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,204.24,7
7/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,204.24,7
7/28/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,204.24,7
7/27/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4140),5J787,Cebu Pacific,230,204.24,7
7/26/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4123),5J787,Cebu Pacific,230,204.24,7
7/25/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4126),5J787,Cebu Pacific,230,204.24,7
7/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,204.24,7
7/22/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/21/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4136),5J787,Cebu Pacific,186,165.168,7
7/20/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,204.24,7
7/19/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4126),5J787,Cebu Pacific,230,204.24,7
7/18/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4145),5J787,Cebu Pacific,230,204.24,7
7/17/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,204.24,7
7/16/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4122),5J787,Cebu Pacific,230,204.24,7
7/15/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,204.24,7
7/14/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,204.24,7
7/13/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,204.24,7
7/12/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4120),5J787,Cebu Pacific,230,204.24,7
7/11/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,204.24,7
7/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/9/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4149),5J787,Cebu Pacific,230,204.24,7
7/8/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4147),5J787,Cebu Pacific,230,204.24,7
7/7/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/6/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/5/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/4/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/3/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4143),5J787,Cebu Pacific,230,204.24,7
7/2/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,204.24,7
7/1/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,204.24,7
6/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,201.25,6
6/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,201.25,6
6/28/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4126),5J787,Cebu Pacific,230,201.25,6
6/27/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,201.25,6
6/26/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4143),5J787,Cebu Pacific,230,201.25,6
6/25/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,201.25,6
6/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,201.25,6
6/23/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,201.25,6
6/22/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,201.25,6
6/21/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4127),5J787,Cebu Pacific,230,201.25,6
6/20/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,201.25,6
6/19/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,201.25,6
6/18/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,201.25,6
6/17/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,201.25,6
6/16/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,201.25,6
6/15/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,201.25,6
6/14/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,201.25,6
6/13/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,201.25,6
6/12/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,201.25,6
6/11/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,201.25,6
6/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,201.25,6
6/9/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,201.25,6
6/8/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,201.25,6
6/7/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,201.25,6
6/6/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,201.25,6
6/5/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4147),5J787,Cebu Pacific,230,201.25,6
6/4/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,201.25,6
6/3/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,201.25,6
6/2/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,201.25,6
6/1/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,201.25,6
5/31/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,198.72,5
5/28/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,198.72,5
5/27/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/26/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,198.72,5
5/25/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,198.72,5
5/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,198.72,5
5/23/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,198.72,5
5/22/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/21/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,198.72,5
5/20/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4141),5J787,Cebu Pacific,230,198.72,5
5/19/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4120),5J787,Cebu Pacific,230,198.72,5
5/18/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/17/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4116),5J787,Cebu Pacific,230,198.72,5
5/16/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,198.72,5
5/15/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/14/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,198.72,5
5/13/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,198.72,5
5/12/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,198.72,5
5/11/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,198.72,5
5/8/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,198.72,5
5/7/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/6/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,198.72,5
5/4/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/3/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,198.72,5
5/1/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,198.72,5
4/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,192.74,4
4/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,192.74,4
4/27/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,192.74,4
4/26/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/25/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4263),5J787,Cebu Pacific,186,155.868,4
4/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,192.74,4
4/23/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,192.74,4
4/22/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/21/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4104),5J787,Cebu Pacific,186,155.868,4
4/20/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/19/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4126),5J787,Cebu Pacific,230,192.74,4
4/18/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,192.74,4
4/17/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4114),5J787,Cebu Pacific,230,192.74,4
4/16/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,192.74,4
4/15/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4145),5J787,Cebu Pacific,230,192.74,4
4/14/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4103),5J787,Cebu Pacific,186,155.868,4
4/13/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4140),5J787,Cebu Pacific,230,192.74,4
4/12/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/11/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,192.74,4
4/10/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/9/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4262),5J787,Cebu Pacific,186,155.868,4
4/8/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,192.74,4
4/7/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4263),5J787,Cebu Pacific,186,155.868,4
4/6/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4113),5J787,Cebu Pacific,230,192.74,4
4/5/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4111),5J787,Cebu Pacific,230,192.74,4
4/4/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,192.74,4
4/3/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4149),5J787,Cebu Pacific,230,192.74,4
4/2/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4117),5J787,Cebu Pacific,230,192.74,4
4/1/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4120),5J787,Cebu Pacific,230,192.74,4
3/31/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,187.22,3
3/30/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,187.22,3
3/29/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4112),5J787,Cebu Pacific,230,187.22,3
3/28/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4262),5J787,Cebu Pacific,186,151.404,3
3/27/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4100),5J787,Cebu Pacific,186,151.404,3
3/26/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4264),5J787,Cebu Pacific,186,151.404,3
3/24/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,187.22,3
3/23/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4138),5J787,Cebu Pacific,186,151.404,3
3/22/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4118),5J787,Cebu Pacific,230,187.22,3
3/21/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4103),5J787,Cebu Pacific,186,151.404,3
3/20/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4144),5J787,Cebu Pacific,186,151.404,3
3/19/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,187.22,3
3/18/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4140),5J787,Cebu Pacific,230,187.22,3
3/17/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4350),5J787,Cebu Pacific,186,151.404,3
3/16/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4266),5J787,Cebu Pacific,186,151.404,3
3/15/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4136),5J787,Cebu Pacific,186,151.404,3
3/14/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4138),5J787,Cebu Pacific,186,151.404,3
3/12/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4130),5J787,Cebu Pacific,186,151.404,3
3/11/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C3277),5J787,Cebu Pacific,186,151.404,3
3/9/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C3277),5J787,Cebu Pacific,186,151.404,3
3/8/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4136),5J787,Cebu Pacific,186,151.404,3
3/7/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4135),5J787,Cebu Pacific,186,151.404,3
3/6/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4101),5J787,Cebu Pacific,186,151.404,3
3/5/2025 0:00,Manila (MNL),Butuan (BXU),A21N (RP-C4124),5J787,Cebu Pacific,230,187.22,3
3/4/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4100),5J787,Cebu Pacific,186,151.404,3
3/3/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4110),5J787,Cebu Pacific,186,151.404,3
3/2/2025 0:00,Manila (MNL),Butuan (BXU),A321 (RP-C4115),5J787,Cebu Pacific,230,187.22,3
3/1/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C3239),5J787,Cebu Pacific,186,151.404,3
2/28/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4264),5J787,Cebu Pacific,186,161.448,2
2/27/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C4104),5J787,Cebu Pacific,186,161.448,2
2/26/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4350),5J787,Cebu Pacific,186,161.448,2
2/25/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4267),5J787,Cebu Pacific,186,161.448,2
2/24/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4267),5J787,Cebu Pacific,186,161.448,2
2/23/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C3239),5J787,Cebu Pacific,186,161.448,2
2/22/2025 0:00,Manila (MNL),Butuan (BXU),A20N (RP-C4130),5J787,Cebu Pacific,186,161.448,2
