Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_MAE,Total_RMSE,Total_MAPE,CebuPac_MAE,CebuPac_RMSE,CebuPac_MAPE,Total_Model,Total_AIC,Total_Forecast_Avg,CebuPac_Model,CebuPac_AIC,CebuPac_Forecast_Avg
Angeles City (CRK)-Angeles City (CRK),16,336.150375,164.777625,49.019021620904034,149.65266666666668,180.18289126699392,94.5605827229147,87.47799999999997,126.46351756929741,1.0627104377103285,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,567.8779999999999,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,2.780999999999679
Angeles City (CRK)-Caticlan (MPH),27,7766.1286666666665,7753.661999999999,99.83947385883296,3646.1236739024203,3863.905664281825,34.4707545484803,3708.4539151920585,3889.586011161302,35.77996351726341,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,6753.327148563795,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,6482.060820682908
Angeles City (CRK)-Cebu (CEB),34,6171.387411764705,5675.145176470589,91.95898422536051,2676.4313333333334,2859.5110555610727,34.21907139214839,2513.071333333333,3549.2661103157643,59.39351882973202,"SARIMA(0, 1, 0)(0, 0, 0, 12)",621.6572363411212,5874.150000000001,"SARIMA(0, 1, 0)(0, 0, 0, 12)",623.9675421258715,3743.25
Angeles City (CRK)-Manila (MNL),20,218.38309999999996,104.1049,47.67076756397359,141708.85357675658,230283.9423418933,22514.814054349055,123.60666666666664,190.23059299001653,201.48571428571427,"SARIMA(0, 0, 0)(0, 1, 0, 12)",113.27508714326027,384.5415,"SARIMA(0, 0, 0)(0, 1, 0, 12)",107.18703984679138,115.36433333333333
Angeles City (CRK)-Puerto Princesa City (PPS),12,2346.911833333333,2301.1918333333333,98.05190807125193,333.2506666666666,352.36443414926725,16.28805846529637,333.2506666666666,352.36443414926725,16.28805846529637,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,4257.387833333333,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,4292.691833333333
Bacolod City (BCD)-Cebu (CEB),34,4675.537176470589,548.3571764705882,11.728217652298195,1511.0613892990075,1659.2630485598895,22.66545416510072,661.3875301529696,849.7380122075288,3.854703859011947,"SARIMA(1, 1, 1)(0, 0, 0, 12)",559.9357314121166,9313.977092596047,"SARIMA(1, 0, 0)(0, 1, 0, 12)",352.7633515902899,1288.2065957596403
Bacolod City (BCD)-Davao City (DVO),33,3087.847212121212,3087.847212121212,100.0,2737.2315654723225,2768.46724767463,135.97630663937483,2737.2315654723225,2768.46724767463,135.97630663937483,"SARIMA(1, 0, 0)(0, 1, 0, 12)",344.89289522597454,3051.1378276049686,"SARIMA(1, 0, 0)(0, 1, 0, 12)",344.89289522597454,3051.1378276049686
Bacolod City (BCD)-Manila (MNL),34,68182.11464705883,31544.276823529413,46.264738174837674,3888.138666666671,3931.482894401047,4.839161941563297,3156.440666666669,3428.772121952505,8.627930541701456,"SARIMA(0, 1, 0)(0, 0, 0, 12)",684.4782918151084,77066.74600000001,"SARIMA(0, 1, 0)(0, 0, 0, 12)",645.6085840356694,34903.75
Busuanga (USU)-Cebu (CEB),34,5510.005882352941,9.072,0.16464592223132035,450.49962109522613,485.8636431876469,6.159124884742692,61.42255928633261,78.74809727601404,100.23985895300314,"SARIMA(0, 0, 0)(1, 1, 0, 12)",356.426590016703,7926.47367373348,"SARIMA(2, 1, 0)(0, 1, 0, 12)",201.27874499659276,75.08811062169451
Busuanga (USU)-Manila (MNL),34,6913.923294117648,7.267764705882352,0.10511780933505224,301.0203131243943,339.0304843796087,3.5702389051523573,62.11201411860835,80.6565557166501,100.00001603645245,"SARIMA(1, 0, 1)(2, 1, 0, 12)",357.11312511495805,12129.912041461268,"SARIMA(0, 0, 0)(0, 1, 0, 12)",216.7790699988914,31.823999999999998
Butuan (BXU)-Manila (MNL),34,26013.028529411768,18072.96494117647,69.47658908974084,7061.034000000002,7371.96984945589,19.890875935046946,7110.076000000002,7402.468202815241,26.674269957060275,"SARIMA(0, 1, 0)(0, 0, 0, 12)",635.2464563930017,32438.56,"SARIMA(0, 1, 0)(0, 0, 0, 12)",619.3941137541211,23611.0
Cagayan de Oro (CGY)-Cebu (CEB),34,9316.391823529411,577.482,6.198558529295812,1620.7284581512638,1732.5156485134842,13.823744289114078,3497.9456853746547,3500.877370482311,1749.6514442231146,"SARIMA(2, 0, 0)(1, 1, 0, 12)",386.3893820896787,11639.19356430808,"SARIMA(1, 0, 0)(1, 1, 0, 12)",380.1118541062133,397.9672983338856
Cagayan de Oro (CGY)-Davao City (DVO),33,977.773090909091,5.005090909090909,0.5118867511926917,198.99356160067816,215.09414415646165,21.328148265922433,2.4810424241533545e-13,4.196786765367848e-13,,"SARIMA(0, 0, 0)(0, 1, 0, 12)",295.97818311677685,998.328,"SARIMA(1, 1, 1)(1, 1, 1, 12)",-109.29894510712838,15.648896654266986
Cagayan de Oro (CGY)-Manila (MNL),34,57282.16088235293,26961.857529411765,47.06850634490986,13248.900666666666,13327.37460493116,17.98361656214823,9451.12,9590.561522330729,24.262910596793816,"SARIMA(1, 0, 0)(0, 1, 1, 12)",452.1851489744099,79419.67140953672,"SARIMA(0, 1, 0)(0, 0, 1, 12)",647.7847783902521,41369.73474898056
Caticlan (MPH)-Angeles City (CRK),27,8518.241777777777,8491.230666666666,99.68290274195343,2371.104,2382.4645588096373,24.47496812785961,2352.4040000000005,2381.3981570464025,25.524745556218082,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,9583.632018218124,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,9348.095367265707
Caticlan (MPH)-Caticlan (MPH),17,228.65670588235295,167.07176470588237,73.06663675625727,,,,,,,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,-2.288453754620363e+20,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,-8915179.968342625
Caticlan (MPH)-Cebu (CEB),34,12722.293705882352,7901.367529411764,62.10647004445781,2468.817590674629,2935.3146032432005,14.406328556545803,1367.324818107468,1569.9644832718297,13.103096818428456,"SARIMA(1, 0, 0)(0, 1, 1, 12)",415.4846015427188,17727.108393763967,"SARIMA(0, 1, 0)(0, 0, 0, 12)",590.7518590011364,9765.0
Caticlan (MPH)-Manila (MNL),34,93092.20917647058,34763.33982352941,37.34290992883213,10833.513932883463,11517.01697118392,9.638683407363153,8468.509482816982,8589.61185196651,19.50306387003476,"SARIMA(0, 1, 0)(0, 0, 0, 12)",704.1603075602,113294.82400000001,"SARIMA(1, 0, 0)(0, 0, 1, 12)",694.3622025833453,36548.17725937372
Caticlan (MPH)-nan,20,282.10170000000005,198.8991,70.50616852007626,36145.655181093454,52092.30108338955,27679.05707518975,3245.059773683806,3674.2818414580443,466.21878856760526,"SARIMA(2, 0, 0)(0, 1, 0, 12)",107.62092986974264,233.3214170587531,"SARIMA(0, 0, 0)(0, 1, 0, 12)",112.04153360246201,172.96450000000002
Cauayan (CYZ)-Manila (MNL),34,5829.607411764705,5352.215647058823,91.81091056419237,2020.0653333333346,2321.4664440113297,14.804475771969052,1019.7140000000005,1129.527433085182,12.266472742571626,"SARIMA(0, 1, 0)(0, 1, 0, 12)",363.22704475228323,14683.415500000001,"SARIMA(0, 1, 0)(0, 0, 0, 12)",540.7426543483919,7323.75
Cebu (CEB)-Angeles City (CRK),34,5568.56605882353,5193.595352941176,93.26629689005479,4700.350035087721,5491.008141788964,89.87809185178507,5440.173165609538,5677.657750022113,107.98851317128147,"SARIMA(0, 1, 0)(0, 0, 0, 12)",608.241539337601,4247.25,"SARIMA(0, 1, 0)(0, 0, 0, 12)",610.8310985041046,3743.2499999999995
Cebu (CEB)-Bacolod City (BCD),34,4778.766705882353,543.8384705882354,11.380310110531349,1623.257796084322,1794.1030508581423,24.196041532833224,658.7826463896055,840.6381893815054,5.473403060742749,"SARIMA(0, 0, 1)(1, 1, 0, 12)",381.5126030792635,9245.118477494578,"SARIMA(1, 0, 0)(0, 1, 0, 12)",352.79370249299575,1311.2535616614296
Cebu (CEB)-Butuan (BXU),34,2796.497,13.638176470588235,0.48768786344445336,676.8590522072286,717.9563596961347,18.64936048378715,685.3999081121136,763.681191231821,,"SARIMA(0, 1, 0)(0, 0, 0, 12)",544.4949745040353,4133.64,"SARIMA(0, 0, 0)(0, 1, 0, 12)",253.27727596368024,38.6415
Cebu (CEB)-Cagayan de Oro (CGY),34,9293.789999999999,578.3645294117647,6.223128878657305,867.9887588919834,926.5024122290242,7.403289248863247,3553.063978969841,3555.583679735667,1785.5429027756195,"SARIMA(0, 0, 2)(0, 0, 0, 12)",608.6421253774442,9453.751255136898,"SARIMA(1, 0, 0)(1, 1, 0, 12)",379.90767337213384,399.5357615797604
Cebu (CEB)-Caticlan (MPH),34,11591.531235294118,7895.787529411765,68.11686367518485,2325.49964179135,2453.805845578555,15.404839551239657,1282.5571876441948,1505.5431693655037,12.249479818885197,"SARIMA(1, 0, 0)(1, 1, 0, 12)",410.26069862551617,15611.850403005728,"SARIMA(0, 1, 0)(0, 0, 0, 12)",594.1507481854014,9765.0
Cebu (CEB)-Cebu (CEB),30,506.95266666666674,12.306000000000001,2.427445560335021,1536.1392324842952,1608.580522171976,1622.9945382013743,24.38620058807611,24.38620058807611,,"SARIMA(1, 1, 1)(1, 1, 1, 12)",48.00779501572882,409.02589453592515,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.07297312476408,6.6840939739897465
Cebu (CEB)-Davao City (DVO),34,21180.88588235294,15126.078529411765,71.41381438636711,2622.379356076983,2640.913453223042,10.244385820428919,5208.135640146854,5456.17250230245,26.911521559245006,"SARIMA(2, 0, 1)(0, 1, 1, 12)",439.1481371130101,30706.992066817333,"SARIMA(1, 0, 0)(0, 0, 0, 12)",674.8826488254958,15629.688574957843
Cebu (CEB)-Dipolog (DPL),16,909.1432500000001,10.044,1.1047763924992018,352.752,354.63457377982763,18.678702733574422,0.0,0.0,,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,2973.5869999999995,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,13.392000000000001
Cebu (CEB)-Dumaguete City (DGT),25,1303.63584,33.68832,2.584181791135782,366.2599999999998,464.7439223142137,15.068880087141443,91.38092732145047,91.51646878816086,63.098786640820656,"SARIMA(0, 1, 0)(0, 0, 0, 12)",378.40243099127395,2646.0,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,22.986203751692486
Cebu (CEB)-General Santos (GES),32,5174.6255,4425.0031874999995,85.51349633901042,2557.178740008351,3117.727989744951,46.32208384844303,33905839.331452705,57273497.645342365,1578600.3001222957,"SARIMA(1, 0, 0)(0, 0, 0, 12)",577.4948276866068,4756.710876295684,"SARIMA(0, 0, 2)(1, 1, 0, 12)",367.38126941189586,4650.474524601391
Cebu (CEB)-Iloilo (ILO),34,7120.669999999999,2054.700588235294,28.855438999915663,3407.0986666666663,3418.7796559014055,53.775557257043715,8047.952,8585.437839819702,3749.612700537681,"SARIMA(0, 1, 0)(0, 0, 0, 12)",584.0813472463904,6764.491999999999,"SARIMA(1, 0, 0)(1, 1, 0, 12)",406.66681971851443,919.6406692586534
Cebu (CEB)-Legazpi (DRP),20,1319.3876,18.2,1.3794278497084556,481.174198187573,632.0953865998258,17.834262120458195,121.33333333333333,210.15549798502377,100.0,"SARIMA(0, 0, 0)(0, 1, 0, 12)",128.8665937940898,4231.991333333334,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,394.3333333333315
Cebu (CEB)-Manila (MNL),34,126861.61382352942,53731.10294117647,42.35410643279299,12969.391666666663,13417.771189014255,8.681707667212962,946.0849999999991,1132.588604879547,1.6248285269316234,"SARIMA(0, 1, 0)(0, 0, 0, 12)",719.0474583463541,171056.41771212115,"SARIMA(0, 1, 0)(0, 0, 0, 12)",663.6437160221677,56613.375
Cebu (CEB)-Ozamiz (OZC),31,1565.962258064516,10.272,0.6559545063810092,1413934.6216025623,2313443.3414153876,78667.18811826826,11.372571428571428,11.37257142857143,,"SARIMA(0, 0, 0)(0, 1, 0, 12)",290.152626665377,1617.3398333333334,"SARIMA(0, 0, 0)(0, 0, 0, 12)",319.3034572069843,10.272000000000004
Cebu (CEB)-Puerto Princesa City (PPS),34,5681.046235294118,4391.471588235294,77.30040218565374,1562.401333333332,1633.4950407099484,16.731300426393027,3320.1204870436886,3366.2163788750454,40.89981120367832,"SARIMA(2, 0, 0)(0, 1, 0, 12)",395.60293550226373,13282.75315781246,"SARIMA(0, 1, 0)(0, 0, 0, 12)",581.9889405885407,8526.0
Cebu (CEB)-Surigao (SUG),30,1211.146,5.7024,0.4708268037049208,603.1464712604768,741.309323155206,25.646447088111763,57.024,98.76846525080765,100.0,"SARIMA(0, 1, 0)(0, 0, 0, 12)",445.81010305387696,2191.2000000000003,"SARIMA(1, 1, 1)(1, 1, 1, 12)",46.07030208564863,90.8948605150993
Cebu (CEB)-Tacloban (TAC),34,2772.804,4.732058823529411,0.17065969406887077,636.1409323137499,669.8553723453722,29.610129591333788,5.418493374058631,5.423554303637802,,"SARIMA(0, 0, 2)(0, 0, 0, 12)",525.9949886251543,2705.4530911774127,"SARIMA(1, 1, 1)(1, 1, 1, 12)",87.3658885611083,27.15961826486128
Cebu (CEB)-Zamboanga (ZAM),26,3131.7838461538463,3116.945076923077,99.5261879503915,1657.5953944774556,2202.5967870205227,1134.7814600841718,1676.0862887114436,2247.582112011829,21.20282008410722,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,305.19711567372065,"SARIMA(1, 1, 1)(1, 1, 1, 12)",10.0,193.99301192695938
