Fold,Method,MAE,RMSE,R2,MAPE
1,LSTM,609759.73925,611975.0354759363,-204.76308366896635,53.696300904941594
1,WMA,159940.03457000005,165439.59991704195,-14.037615976504917,13.98981919358033
2,LSTM,255106.4981666666,268265.80917868426,-9.953682763676802,21.07318991931434
2,WMA,90570.51466166663,90607.11313545637,-0.24955131567626054,7.644600957651739
3,LSTM,429697.58,438393.6633435585,-25.908276043205504,30.323791891051616
3,WMA,254180.51187666683,270562.9346723946,-9.2492937363313,17.755460471038763
