Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Travelers_From_log,Travelers_To_log,Establishment_From_log,Establishment_To_log,AirFli_From_log,AirFli_To_log,OFW_From_log,OFW_To_log,cluster_elbow,cluster_elbow_dist_to_centroid
ZAM-ILO,ZAM,ILO,2023,4,0.0,0.0,0.0,6290.42,3211.83,235,520,0.0394,2.0,0.0863,0.001,1.405,1.9149,0.2669,0.0007,1263,2618,1953463,5909568,64,147,0,14.48511476484572,15.592083459480998,4.174387269895637,4.997212273764115,5.4638318050256105,6.255750041753367,7.142036574706803,7.870547844507712,0,3.6154875442626775
ZAM-MNL,ZAM,MNL,2023,4,17358.332,73.09,6066.3,6290.42,3712.79,235,5219,0.0394,0.1691,0.0863,0.5725,1.405,1.9891,0.2669,0.1717,1263,4565,1953463,7348669,64,1351,1,14.48511476484572,15.81002990243421,4.174387269895637,7.20934025660291,5.4638318050256105,8.560252680876685,7.142036574706803,8.42639282708974,0,3.304622947453384
ZAM-TWT,ZAM,TWT,2023,4,4676.04,78.95,6676.21,6290.42,6148.74,235,45,0.0394,0.007,0.0863,0.0,1.405,1.9938,0.2669,0.0007,1263,940,1953463,1878952,64,6,1,14.48511476484572,14.446225264777816,4.174387269895637,1.9459101490553132,5.4638318050256105,3.828641396489095,7.142036574706803,6.846943139585379,1,4.700618400462059
BCD-CEB,BCD,CEB,2023,5,1181.952,36.5,5364.5,3613.49,3010.62,429,1840,0.0525,0.0056,0.1407,0.5096,1.7466,1.891,0.1829,0.0813,2618,2606,5909568,7517450,147,386,1,15.592083459480998,15.832737675699201,4.997212273764115,5.958424693029782,6.063785208687608,7.518064181233078,7.870547844507712,7.865955413933502,0,2.643740178186369
BCD-DVO,BCD,DVO,2023,5,3772.224,100.0,10000.0,3613.49,4873.63,429,713,0.0525,0.6037,0.1407,0.4554,1.7466,1.7601,0.1829,0.1592,2618,1837,5909568,4116016,147,205,1,15.592083459480998,15.230396506151067,4.997212273764115,5.327876168789581,6.063785208687608,6.570882962339584,7.870547844507712,7.516433302915632,1,2.6595950649414766
BCD-MNL,BCD,MNL,2023,5,29061.504,47.95,3658.6,3613.49,3632.94,429,5470,0.0525,0.1691,0.1407,0.5725,1.7466,1.9891,0.1829,0.1717,2618,4565,5909568,7348669,147,1351,1,15.592083459480998,15.81002990243421,4.997212273764115,7.20934025660291,6.063785208687608,8.607216694063826,7.870547844507712,8.42639282708974,0,2.973033089053544
BPA-CEB,BPA,CEB,2023,5,0.0,0.0,10000.0,10000.0,3010.62,8,1840,0.0,0.0056,0.0491,0.5096,1.9298,1.891,0.0072,0.0813,1528,2606,1695713,7517450,103,386,0,14.343614449038526,15.832737675699201,4.6443908991413725,5.958424693029782,2.1972245773362196,7.518064181233078,7.332369205929062,7.865955413933502,0,2.9648956924113397
BSO-CRK,BSO,CRK,2023,5,0.0,0.0,0.0,0.0,8803.94,0,89,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216,3779,1113791,5691259,46,243,0,13.923280967493845,15.554442222712828,3.8501476017100584,5.497168225293202,0.0,4.499809670330265,7.104144092987527,8.237479288613633,0,4.315994972888064
BSO-MNL,BSO,MNL,2023,5,0.0,0.0,0.0,0.0,3632.94,0,5470,0.0348,0.1691,0.2377,0.5725,1.996,1.9891,0.0006,0.1717,1216,4565,1113791,7348669,46,1351,0,13.923280967493845,15.81002990243421,3.8501476017100584,7.20934025660291,0.0,8.607216694063826,7.104144092987527,8.42639282708974,0,3.92433301707687
BXU-CEB,BXU,CEB,2023,5,3110.4,76.79,6435.41,4702.27,3010.62,221,1840,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920,2606,1728856,7517450,47,386,1,14.362971054478116,15.832737675699201,3.871201010907891,5.958424693029782,5.402677381872279,7.518064181233078,6.825460036255307,7.865955413933502,0,3.4743946479130505
BXU-MNL,BXU,MNL,2023,5,17838.144,72.2,5985.68,4702.27,3632.94,221,5470,0.018,0.1691,0.0452,0.5725,1.8643,1.9891,0.2916,0.1717,920,4565,1728856,7348669,47,1351,1,14.362971054478116,15.81002990243421,3.871201010907891,7.20934025660291,5.402677381872279,8.607216694063826,6.825460036255307,8.42639282708974,0,3.712962039415554
CBO-CEB,CBO,CEB,2023,5,0.0,0.0,10000.0,10000.0,3010.62,44,1840,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940,2606,1878952,7517450,6,386,0,14.446225264777816,15.832737675699201,1.9459101490553132,5.958424693029782,3.8066624897703196,7.518064181233078,6.846943139585379,7.865955413933502,0,3.574329172374404
CBO-MNL,CBO,MNL,2023,5,0.0,0.0,10000.0,10000.0,3632.94,44,5470,0.165,0.1691,0.0388,0.5725,1.9501,1.9891,0.0101,0.1717,940,4565,1878952,7348669,6,1351,0,14.446225264777816,15.81002990243421,1.9459101490553132,7.20934025660291,3.8066624897703196,8.607216694063826,6.846943139585379,8.42639282708974,0,3.8158811864575823
CBO-TAG,CBO,TAG,2023,5,0.0,0.0,0.0,10000.0,3859.89,44,283,0.165,0.0022,0.0388,0.746,1.9501,1.9782,0.0101,0.0037,940,2606,1878952,7517450,6,386,0,14.446225264777816,15.832737675699201,1.9459101490553132,5.958424693029782,3.8066624897703196,5.648974238161206,6.846943139585379,7.865955413933502,0,3.811434431929215
CBO-TWT,CBO,TWT,2023,5,0.0,0.0,10000.0,10000.0,5100.41,44,46,0.165,0.007,0.0388,0.0,1.9501,1.9938,0.0101,0.0007,940,940,1878952,1878952,6,6,0,14.446225264777816,14.446225264777816,1.9459101490553132,1.9459101490553132,3.8066624897703196,3.8501476017100584,6.846943139585379,6.846943139585379,0,6.190347778510911
CEB-BAG,CEB,BAG,2023,5,0.0,0.0,0.0,3182.05,0.0,1818,0,0.0056,0.2033,0.5096,0.5139,1.891,1.4349,0.0813,0.1274,2606,627,7517450,1983511,386,38,0,15.832737675699201,14.500379568829993,5.958424693029782,3.6635616461296463,7.506042178518122,0.0,7.865955413933502,6.4425401664681985,1,3.873529772580869
CEB-BCD,CEB,BCD,2023,5,1244.16,35.79,5403.85,3182.05,3542.34,1818,424,0.0056,0.0525,0.5096,0.1407,1.891,1.7466,0.0813,0.1829,2606,2618,7517450,5909568,386,147,1,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,7.506042178518122,6.052089168924417,7.865955413933502,7.870547844507712,1,2.5512227734007706
CEB-BPA,CEB,BPA,2023,5,0.0,0.0,10000.0,3182.05,10000.0,1818,9,0.0056,0.0,0.5096,0.0491,1.891,1.9298,0.0813,0.0072,2606,1528,7517450,1695713,386,103,0,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,7.506042178518122,2.302585092994046,7.865955413933502,7.332369205929062,1,2.9104167324569232
CEB-BXU,CEB,BXU,2023,5,2052.864,69.96,5796.8,3182.05,5006.33,1818,203,0.0056,0.018,0.5096,0.0452,1.891,1.8643,0.0813,0.2916,2606,920,7517450,1728856,386,47,1,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,7.506042178518122,5.318119993844216,7.865955413933502,6.825460036255307,1,3.451528000612998
CEB-CBO,CEB,CBO,2023,5,0.0,0.0,10000.0,3182.05,10000.0,1818,44,0.0056,0.165,0.5096,0.0388,1.891,1.9501,0.0813,0.0101,2606,940,7517450,1878952,386,6,0,15.832737675699201,14.446225264777816,5.958424693029782,1.9459101490553132,7.506042178518122,3.8066624897703196,7.865955413933502,6.846943139585379,1,3.562766759444638
CEB-CGM,CEB,CGM,2023,5,0.0,0.0,0.0,3182.05,0.0,1818,0,0.0056,0.0017,0.5096,0.0699,1.891,1.9936,0.0813,0.0058,2606,1573,7517450,2941319,386,135,0,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,7.506042178518122,0.0,7.865955413933502,7.3613754289773485,1,3.215111442819456
CEB-CGY,CEB,CGY,2023,5,6754.752,72.9,5802.57,3182.05,2949.79,1818,455,0.0056,0.072,0.5096,0.0369,1.891,1.9531,0.0813,0.0014,2606,1573,7517450,2941319,386,135,1,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,7.506042178518122,6.1224928095143865,7.865955413933502,7.3613754289773485,1,1.596665174219026
CEB-CRK,CEB,CRK,2023,5,2571.264,100.0,10000.0,3182.05,8803.94,1818,89,0.0056,0.0065,0.5096,0.1865,1.891,1.2661,0.0813,0.1108,2606,3779,7517450,5691259,386,243,1,15.832737675699201,15.554442222712828,5.958424693029782,5.497168225293202,7.506042178518122,4.499809670330265,7.865955413933502,8.237479288613633,1,3.111524449145707
CEB-CRM,CEB,CRM,2023,5,0.0,0.0,0.0,3182.05,10000.0,1818,18,0.0056,0.0586,0.5096,0.0541,1.891,1.9967,0.0813,0.0006,2606,1528,7517450,1695713,386,103,0,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,7.506042178518122,2.9444389791664403,7.865955413933502,7.332369205929062,1,2.7950608178021934
CEB-CYP,CEB,CYP,2023,5,995.328,100.0,10000.0,3182.05,5000.02,1818,33,0.0056,0.0009,0.5096,0.3387,1.891,1.9297,0.0813,0.0019,2606,1528,7517450,1695713,386,103,1,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,7.506042178518122,3.5263605246161616,7.865955413933502,7.332369205929062,1,1.956030386360123
CEB-DGT,CEB,DGT,2023,5,124.416,100.0,10000.0,3182.05,5164.81,1818,138,0.0056,0.0,0.5096,0.1754,1.891,1.9427,0.0813,0.0084,2606,2606,7517450,7517450,386,386,1,15.832737675699201,15.832737675699201,5.958424693029782,5.958424693029782,7.506042178518122,4.9344739331306915,7.865955413933502,7.865955413933502,1,2.7170756001594896
CEB-DPL,CEB,DPL,2023,5,0.0,0.0,0.0,3182.05,5321.9,1818,67,0.0056,0.0248,0.5096,0.2653,1.891,1.9409,0.0813,0.0123,2606,1263,7517450,1953463,386,64,0,15.832737675699201,14.48511476484572,5.958424693029782,4.174387269895637,7.506042178518122,4.219507705176107,7.865955413933502,7.142036574706803,1,1.7243408437628065
CEB-DRP,CEB,DRP,2023,5,0.0,0.0,0.0,3182.05,5000.79,1818,135,0.0056,2.0,0.5096,0.0165,1.891,1.3268,0.0813,0.0008,2606,1909,7517450,4631579,386,93,0,15.832737675699201,15.348408620548742,5.958424693029782,4.543294782270004,7.506042178518122,4.912654885736052,7.865955413933502,7.554858521040676,1,1.7073927020297155
CEB-DVO,CEB,DVO,2023,5,14302.656,65.09,5455.42,3182.05,4873.63,1818,713,0.0056,0.6037,0.5096,0.4554,1.891,1.7601,0.0813,0.1592,2606,1837,7517450,4116016,386,205,1,15.832737675699201,15.230396506151067,5.958424693029782,5.327876168789581,7.506042178518122,6.570882962339584,7.865955413933502,7.516433302915632,1,2.001025851891004
CEB-ENI,CEB,ENI,2023,5,0.0,0.0,0.0,3182.05,0.0,1818,0,0.0056,0.0141,0.5096,0.2391,1.891,1.9942,0.0813,0.0021,2606,1095,7517450,2810208,386,51,0,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,7.506042178518122,0.0,7.865955413933502,6.999422467507961,1,3.3150200122501463
CEB-GES,CEB,GES,2023,5,5142.528,100.0,10000.0,3182.05,5599.27,1818,174,0.0056,0.0677,0.5096,0.0731,1.891,1.8292,0.0813,0.1054,2606,1625,7517450,1705910,386,82,1,15.832737675699201,14.349609836856978,5.958424693029782,4.418840607796598,7.506042178518122,5.1647859739235145,7.865955413933502,7.3938782901077555,1,1.9459328867716201
CEB-IAO,CEB,IAO,2023,5,3919.104,54.36,5038.02,3182.05,5418.62,1818,222,0.0056,0.0426,0.5096,0.0,1.891,1.977,0.0813,0.0025,2606,920,7517450,1728856,386,47,1,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,7.506042178518122,5.407171771460119,7.865955413933502,6.825460036255307,1,1.891147496408336
CEB-ILO,CEB,ILO,2023,5,3608.064,56.65,5088.44,3182.05,3224.01,1818,519,0.0056,2.0,0.5096,0.001,1.891,1.9149,0.0813,0.0007,2606,2618,7517450,5909568,386,147,1,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,7.506042178518122,6.253828811575473,7.865955413933502,7.870547844507712,1,2.1657993605584944
CEB-MBT,CEB,MBT,2023,5,0.0,0.0,0.0,3182.05,0.0,1818,0,0.0056,0.0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606,1909,7517450,4631579,386,93,0,15.832737675699201,15.348408620548742,5.958424693029782,4.543294782270004,7.506042178518122,0.0,7.865955413933502,7.554858521040676,1,3.302128826053074
CEB-MNL,CEB,MNL,2023,5,46656.864,38.25,3588.21,3182.05,3632.94,1818,5470,0.0056,0.1691,0.5096,0.5725,1.891,1.9891,0.0813,0.1717,2606,4565,7517450,7348669,386,1351,1,15.832737675699201,15.81002990243421,5.958424693029782,7.20934025660291,7.506042178518122,8.607216694063826,7.865955413933502,8.42639282708974,0,3.235547837886009
CEB-MPH,CEB,MPH,2023,5,5785.344,50.02,5000.0,3182.05,4140.98,1818,709,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606,2618,7517450,5909568,386,147,1,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,7.506042178518122,6.565264970035361,7.865955413933502,7.870547844507712,1,2.1109721532042425
CEB-OZC,CEB,OZC,2023,5,1741.824,100.0,10000.0,3182.05,4357.66,1818,97,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.0078,2606,1573,7517450,2941319,386,135,1,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,7.506042178518122,4.584967478670572,7.865955413933502,7.3613754289773485,1,1.6470773759786987
CEB-PAG,CEB,PAG,2023,5,2363.904,100.0,10000.0,3182.05,6328.23,1818,84,0.0056,0.1565,0.5096,0.0837,1.891,1.9399,0.0813,0.0091,2606,1263,7517450,1953463,386,64,1,15.832737675699201,14.48511476484572,5.958424693029782,4.174387269895637,7.506042178518122,4.442651256490317,7.865955413933502,7.142036574706803,1,1.897326696613245
CEB-PPS,CEB,PPS,2023,5,1928.448,39.16,5235.01,3182.05,3572.53,1818,397,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606,1095,7517450,2810208,386,51,1,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,7.506042178518122,5.986452005284438,7.865955413933502,6.999422467507961,1,1.9786251529838432
CEB-SJI,CEB,SJI,2023,5,0.0,0.0,0.0,3182.05,0.0,1818,0,0.0056,0.225,0.5096,0.0171,1.891,1.9857,0.0813,0.0183,2606,1095,7517450,2810208,386,51,0,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,7.506042178518122,0.0,7.865955413933502,6.999422467507961,1,3.281527363391091
CEB-SUG,CEB,SUG,2023,5,497.664,100.0,10000.0,3182.05,10000.0,1818,8,0.0056,0.0282,0.5096,0.0533,1.891,1.8999,0.0813,0.0128,2606,920,7517450,1728856,386,47,1,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,7.506042178518122,2.1972245773362196,7.865955413933502,6.825460036255307,1,3.12359381275383
CEB-TAC,CEB,TAC,2023,5,1928.448,58.03,5128.96,3182.05,3404.32,1818,322,0.0056,0.0177,0.5096,0.1266,1.891,1.7168,0.0813,0.1699,2606,1528,7517450,1695713,386,103,1,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,7.506042178518122,5.777652323222656,7.865955413933502,7.332369205929062,1,2.150692984219616
CEB-TAG,CEB,TAG,2023,5,0.0,0.0,0.0,3182.05,3859.89,1818,283,0.0056,0.0022,0.5096,0.746,1.891,1.9782,0.0813,0.0037,2606,2606,7517450,7517450,386,386,0,15.832737675699201,15.832737675699201,5.958424693029782,5.958424693029782,7.506042178518122,5.648974238161206,7.865955413933502,7.865955413933502,1,2.761994838980248
CEB-USU,CEB,USU,2023,5,1804.032,34.62,5473.09,3182.05,5274.54,1818,157,0.0056,0.0053,0.5096,0.0456,1.891,1.9757,0.0813,0.0016,2606,1095,7517450,2810208,386,51,1,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,7.506042178518122,5.062595033026967,7.865955413933502,6.999422467507961,1,1.345645153108401
CEB-ZAM,CEB,ZAM,2023,5,3696.192,100.0,10000.0,3182.05,5385.8,1818,72,0.0056,0.0394,0.5096,0.0863,1.891,1.405,0.0813,0.2669,2606,1263,7517450,1953463,386,64,1,15.832737675699201,14.48511476484572,5.958424693029782,4.174387269895637,7.506042178518122,4.290459441148391,7.865955413933502,7.142036574706803,1,3.171694246337757
CGM-CEB,CGM,CEB,2023,5,0.0,0.0,0.0,0.0,3010.62,0,1840,0.0017,0.0056,0.0699,0.5096,1.9936,1.891,0.0058,0.0813,1573,2606,2941319,7517450,135,386,0,14.894369018145523,15.832737675699201,4.912654885736052,5.958424693029782,0.0,7.518064181233078,7.3613754289773485,7.865955413933502,0,3.2100853800035973
CGY-CEB,CGY,CEB,2023,5,6754.752,73.84,5882.97,2986.39,3010.62,477,1840,0.072,0.0056,0.0369,0.5096,1.9531,1.891,0.0014,0.0813,1573,2606,2941319,7517450,135,386,1,14.894369018145523,15.832737675699201,4.912654885736052,5.958424693029782,6.169610732491456,7.518064181233078,7.3613754289773485,7.865955413933502,0,1.6069027579094572
CGY-DVO,CGY,DVO,2023,5,1057.536,100.0,10000.0,2986.39,4873.63,477,713,0.072,0.6037,0.0369,0.4554,1.9531,1.7601,0.0014,0.1592,1573,1837,2941319,4116016,135,205,1,14.894369018145523,15.230396506151067,4.912654885736052,5.327876168789581,6.169610732491456,6.570882962339584,7.3613754289773485,7.516433302915632,0,2.4618389426759912
CGY-ILO,CGY,ILO,2023,5,0.0,0.0,0.0,2986.39,3224.01,477,519,0.072,2.0,0.0369,0.001,1.9531,1.9149,0.0014,0.0007,1573,2618,2941319,5909568,135,147,0,14.894369018145523,15.592083459480998,4.912654885736052,4.997212273764115,6.169610732491456,6.253828811575473,7.3613754289773485,7.870547844507712,0,2.550172286653679
CGY-MNL,CGY,MNL,2023,5,22980.672,43.89,3664.14,2986.39,3632.94,477,5470,0.072,0.1691,0.0369,0.5725,1.9531,1.9891,0.0014,0.1717,1573,4565,2941319,7348669,135,1351,1,14.894369018145523,15.81002990243421,4.912654885736052,7.20934025660291,6.169610732491456,8.607216694063826,7.3613754289773485,8.42639282708974,0,2.093931514546436
CGY-TAC,CGY,TAC,2023,5,0.0,0.0,0.0,2986.39,3404.32,477,322,0.072,0.0177,0.0369,0.1266,1.9531,1.7168,0.0014,0.1699,1573,1528,2941319,1695713,135,103,0,14.894369018145523,14.343614449038526,4.912654885736052,4.6443908991413725,6.169610732491456,5.777652323222656,7.3613754289773485,7.332369205929062,1,3.475218214939679
CRK-BSO,CRK,BSO,2023,5,0.0,0.0,0.0,9299.97,10000.0,107,27,0.0065,0.0348,0.1865,0.2377,1.2661,1.996,0.1108,0.0006,3779,1216,5691259,1113791,243,46,0,15.554442222712828,13.923280967493845,5.497168225293202,3.8501476017100584,4.68213122712422,3.332204510175204,8.237479288613633,7.104144092987527,1,4.001365855924919
CRK-CEB,CRK,CEB,2023,5,6910.272,100.0,10000.0,9299.97,3010.62,107,1840,0.0065,0.0056,0.1865,0.5096,1.2661,1.891,0.1108,0.0813,3779,2606,5691259,7517450,243,386,1,15.554442222712828,15.832737675699201,5.497168225293202,5.958424693029782,4.68213122712422,7.518064181233078,8.237479288613633,7.865955413933502,0,3.3613387321928734
CRK-DVO,CRK,DVO,2023,5,0.0,0.0,0.0,9299.97,4873.63,107,713,0.0065,0.6037,0.1865,0.4554,1.2661,1.7601,0.1108,0.1592,3779,1837,5691259,4116016,243,205,0,15.554442222712828,15.230396506151067,5.497168225293202,5.327876168789581,4.68213122712422,6.570882962339584,8.237479288613633,7.516433302915632,1,3.316838222638331
CRK-ENI,CRK,ENI,2023,5,0.0,0.0,0.0,9299.97,0.0,107,0,0.0065,0.0141,0.1865,0.2391,1.2661,1.9942,0.1108,0.0021,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,4.68213122712422,0.0,8.237479288613633,6.999422467507961,1,4.093521341309869
CRK-IAO,CRK,IAO,2023,5,0.0,0.0,0.0,9299.97,5418.62,107,222,0.0065,0.0426,0.1865,0.0,1.2661,1.977,0.1108,0.0025,3779,920,5691259,1728856,243,47,0,15.554442222712828,14.362971054478116,5.497168225293202,3.871201010907891,4.68213122712422,5.407171771460119,8.237479288613633,6.825460036255307,1,3.2557617172354787
CRK-ILO,CRK,ILO,2023,5,0.0,0.0,0.0,9299.97,3224.01,107,519,0.0065,2.0,0.1865,0.001,1.2661,1.9149,0.1108,0.0007,3779,2618,5691259,5909568,243,147,0,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,4.68213122712422,6.253828811575473,8.237479288613633,7.870547844507712,1,3.4222977862049624
CRK-KLO,CRK,KLO,2023,5,0.0,0.0,0.0,9299.97,6250.0,107,124,0.0065,0.0773,0.1865,0.1044,1.2661,1.8404,0.1108,0.0029,3779,2618,5691259,5909568,243,147,0,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,4.68213122712422,4.8283137373023015,8.237479288613633,7.870547844507712,1,3.262900013051651
CRK-MBT,CRK,MBT,2023,5,0.0,0.0,0.0,9299.97,0.0,107,0,0.0065,0.0,0.1865,0.052,1.2661,1.9706,0.1108,0.0011,3779,1909,5691259,4631579,243,93,0,15.554442222712828,15.348408620548742,5.497168225293202,4.543294782270004,4.68213122712422,0.0,8.237479288613633,7.554858521040676,1,4.083088790853199
CRK-MNL,CRK,MNL,2023,5,0.0,0.0,0.0,9299.97,3632.94,107,5470,0.0065,0.1691,0.1865,0.5725,1.2661,1.9891,0.1108,0.1717,3779,4565,5691259,7348669,243,1351,0,15.554442222712828,15.81002990243421,5.497168225293202,7.20934025660291,4.68213122712422,8.607216694063826,8.237479288613633,8.42639282708974,0,3.5920071052293987
CRK-MPH,CRK,MPH,2023,5,8678.016,100.0,10000.0,9299.97,4140.98,107,709,0.0065,0.0902,0.1865,1.3168,1.2661,1.9746,0.1108,0.0014,3779,2618,5691259,5909568,243,147,1,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,4.68213122712422,6.565264970035361,8.237479288613633,7.870547844507712,1,3.4390872258047462
CRK-PPS,CRK,PPS,2023,5,0.0,0.0,0.0,9299.97,3572.53,107,397,0.0065,0.0354,0.1865,0.2292,1.2661,1.3649,0.1108,0.1602,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,4.68213122712422,5.986452005284438,8.237479288613633,6.999422467507961,1,3.3058442594379085
CRK-SJI,CRK,SJI,2023,5,0.0,0.0,0.0,9299.97,0.0,107,0,0.0065,0.225,0.1865,0.0171,1.2661,1.9857,0.1108,0.0183,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,4.68213122712422,0.0,8.237479288613633,6.999422467507961,1,4.066445760959425
CRK-TAG,CRK,TAG,2023,5,0.0,0.0,0.0,9299.97,3859.89,107,283,0.0065,0.0022,0.1865,0.746,1.2661,1.9782,0.1108,0.0037,3779,2606,5691259,7517450,243,386,0,15.554442222712828,15.832737675699201,5.497168225293202,5.958424693029782,4.68213122712422,5.648974238161206,8.237479288613633,7.865955413933502,0,3.612450895022502
CRK-TBH,CRK,TBH,2023,5,0.0,0.0,0.0,9299.97,0.0,107,0,0.0065,0.0,0.1865,0.0036,1.2661,1.9984,0.1108,0.0002,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,4.68213122712422,0.0,8.237479288613633,6.999422467507961,1,4.097335507747967
CRK-USU,CRK,USU,2023,5,0.0,0.0,10000.0,9299.97,5274.54,107,157,0.0065,0.0053,0.1865,0.0456,1.2661,1.9757,0.1108,0.0016,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,4.68213122712422,5.062595033026967,8.237479288613633,6.999422467507961,1,3.025342112221179
CRM-CEB,CRM,CEB,2023,5,0.0,0.0,0.0,10000.0,3010.62,17,1840,0.0586,0.0056,0.0541,0.5096,1.9967,1.891,0.0006,0.0813,1528,2606,1695713,7517450,103,386,0,14.343614449038526,15.832737675699201,4.6443908991413725,5.958424693029782,2.8903717578961645,7.518064181233078,7.332369205929062,7.865955413933502,0,2.874054288611418
CRM-MNL,CRM,MNL,2023,5,0.0,0.0,10000.0,10000.0,3632.94,17,5470,0.0586,0.1691,0.0541,0.5725,1.9967,1.9891,0.0006,0.1717,1528,4565,1695713,7348669,103,1351,0,14.343614449038526,15.81002990243421,4.6443908991413725,7.20934025660291,2.8903717578961645,8.607216694063826,7.332369205929062,8.42639282708974,0,3.19789172358222
CYP-CEB,CYP,CEB,2023,5,995.328,100.0,10000.0,5004.08,3010.62,32,1840,0.0009,0.0056,0.3387,0.5096,1.9297,1.891,0.0019,0.0813,1528,2606,1695713,7517450,103,386,1,14.343614449038526,15.832737675699201,4.6443908991413725,5.958424693029782,3.4965075614664802,7.518064181233078,7.332369205929062,7.865955413933502,0,1.9020566152361178
CYP-MNL,CYP,MNL,2023,5,0.0,0.0,10000.0,5004.08,3632.94,32,5470,0.0009,0.1691,0.3387,0.5725,1.9297,1.9891,0.0019,0.1717,1528,4565,1695713,7348669,103,1351,0,14.343614449038526,15.81002990243421,4.6443908991413725,7.20934025660291,3.4965075614664802,8.607216694063826,7.332369205929062,8.42639282708974,0,2.3244224151899995
CYP-TAC,CYP,TAC,2023,5,0.0,0.0,0.0,5004.08,3404.32,32,322,0.0009,0.0177,0.3387,0.1266,1.9297,1.7168,0.0019,0.1699,1528,1528,1695713,1695713,103,103,0,14.343614449038526,14.343614449038526,4.6443908991413725,4.6443908991413725,3.4965075614664802,5.777652323222656,7.332369205929062,7.332369205929062,0,3.5639746888948087
CYZ-MNL,CYZ,MNL,2023,5,4499.712,100.0,10000.0,10000.0,3632.94,28,5470,0.1052,0.1691,0.0793,0.5725,1.6779,1.9891,0.0065,0.1717,1216,4565,1113791,7348669,46,1351,1,13.923280967493845,15.81002990243421,3.8501476017100584,7.20934025660291,3.367295829986474,8.607216694063826,7.104144092987527,8.42639282708974,0,3.512457290640374
DGT-CEB,DGT,CEB,2023,5,62.208,100.0,10000.0,4964.43,3010.62,107,1840,0.0,0.0056,0.1754,0.5096,1.9427,1.891,0.0084,0.0813,2606,2606,7517450,7517450,386,386,1,15.832737675699201,15.832737675699201,5.958424693029782,5.958424693029782,4.68213122712422,7.518064181233078,7.865955413933502,7.865955413933502,0,2.799837542132834
DGT-ILO,DGT,ILO,2023,5,0.0,0.0,0.0,4964.43,3224.01,107,519,0.0,2.0,0.1754,0.001,1.9427,1.9149,0.0084,0.0007,2606,2618,7517450,5909568,386,147,0,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,4.68213122712422,6.253828811575473,7.865955413933502,7.870547844507712,1,2.9080888446359836
DGT-MNL,DGT,MNL,2023,5,8356.608,49.35,5000.84,4964.43,3632.94,107,5470,0.0,0.1691,0.1754,0.5725,1.9427,1.9891,0.0084,0.1717,2606,4565,7517450,7348669,386,1351,1,15.832737675699201,15.81002990243421,5.958424693029782,7.20934025660291,4.68213122712422,8.607216694063826,7.865955413933502,8.42639282708974,0,2.8466036704568043
