,PC1,PC2,PC3,PC4,PC5,PC6,PC7
RouteHHI,0.013885933405590507,0.08007565350382292,0.7156540743105589,0.08365396024197798,-0.0731904504142764,-0.16513237727221702,0.5514826725865125
AirFli_From_log,0.31883016736627046,0.2648096648375863,0.20828003139352125,-0.11665879822774676,0.07538180889229616,0.13362260928000236,0.12879918777772398
AirFli_To_log,-0.31970214243866935,0.2879553684520636,0.20206253965021853,0.09076881092576382,0.11228851771691277,0.03577311325355244,0.11635642231465043
Travelers_From_log,0.327191131720649,0.3285715212267168,-0.16295107824428595,0.10988311229226774,0.01946359357469552,-0.3431947065519378,-0.0068377655045064635
Travelers_To_log,-0.32530362795971846,0.3287694850687272,-0.11751825751052901,-0.15961125799425058,-0.3345353876835491,0.03281103528386135,0.014122619982488094
Establishment_From_log,0.3481787194612124,0.3840805782896502,-0.026405867463925523,-0.020936045599363542,0.03639952238960688,-0.039343720864196303,-0.060145211253526946
Establishment_To_log,-0.3480109371602377,0.3897037866232951,-0.009957555481048168,-0.010651331472375918,-0.005168412957465314,0.011233365251797075,-0.063113097734994
OFW_From_log,0.3401499815780118,0.36287748534515757,-0.043257671262800064,-0.05425117130403454,0.016899925333735813,-0.2501238663551968,-0.1796682229790197
OFW_To_log,-0.3402971575642414,0.3716551050447861,-0.012176407503200308,0.06670081159245336,-0.22902930914465564,0.04431852637953694,-0.1639772427713283
AirHHI_From,-0.09677282061450779,-0.1495396617732588,0.42062190018529033,-0.5740667467380184,-0.04502346510761887,-0.4235604459033376,-0.501399316614735
AirHHI_To,0.122270368337872,-0.07944840667565783,0.3275575421696991,0.6636982852867718,-0.39126313184984063,0.060731469958822525,-0.482799907570158
EGrowth_From,0.2163374474359937,0.12404510265286567,0.23069954493686495,-0.30614371259733547,0.004529163822662491,0.765070695624295,-0.1994659005102726
EGrowth_To,-0.1952112877921624,0.10602335765169274,0.15169340662654682,0.24877246142045972,0.8092176090714814,0.010596260879515278,-0.27283515840685185
