cluster,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To
0,5217.76850877193,5066.074700292397,3733.0689327485384,242.5423976608181,5804.900584795322,0.2555149122807017,0.1691000000000002,0.21708757309941518,0.5724999999999993,1.8478347953216374,1.9891000000000005,0.04481600877192985,0.1717000000000003,1768.8391812865498,4564.999999999996,3622585.5855263155,7348668.999999995,117.73538011695905,1350.9999999999995
1,5661.409225712199,3829.8648648648646,5499.64796201607,5254.000000000002,228.34550766983216,0.16909999999999975,0.2622837837837838,0.5725000000000001,0.23072162162162158,1.9891000000000003,1.8326540540540541,0.17169999999999982,0.04822162162162163,4564.999999999997,1756.8108108108104,7348669.000000009,3601912.9729729732,1351.0000000000007,117.4054054054053
2,4745.14731016731,3406.951879021878,5002.728603603604,1555.3127413127413,336.7393822393824,0.017066666666666397,0.3637571428571429,0.650728571428571,0.2007214285714285,1.9166309523809522,1.8009095238095238,0.05706428571428568,0.05705952380952383,2607.714285714286,1868.2619047619046,7287752.571428572,3900874.404761906,351.85714285714295,137.5714285714286
3,4372.362952702702,5181.933858108108,4461.976662162162,117.69797297297191,1062.954054054054,0.04383500000000021,0.0975750000000003,0.09431249999999994,0.4397650000000001,1.95767,1.791345,0.007099999999999981,0.0823525,1305.5999999999988,2456.225,2613193.825000001,5820473.075000002,76.75000000000028,265.1749999999999
4,4434.629233186675,5562.998654934004,4509.471068510371,414.28975487115054,640.1690760527972,0.1849581395348836,0.3764116279069769,0.2426232558139535,0.28597674418604657,1.5123999999999997,1.8424232558139535,0.15975813953488371,0.058865116279069776,2304.767441860465,2045.4418604651164,4028586.372093023,4778277.023255814,166.72093023255815,179.62790697674424
5,3596.664064080944,3816.554890387858,4622.83178752108,572.7470489038783,570.7335581787523,2.0000000000000004,0.3169876897133221,0.002934232715008478,0.29509359190556494,1.8415114671163575,1.7380116357504216,0.0007124789207420823,0.08372360876897134,2529.524451939292,2223.018549747049,5750088.765598652,4957385.517706577,140.26138279932536,196.20067453625634
