Window,RMSE,MAE,R2,MAPE
3,9556.29576599136,6788.1550128503595,-1.3023205651793368,205497765.61596295
6,11587.655303692709,8417.221098570642,-2.2003603163153627,231059216.21448463
12,13704.352815125583,10180.800164601229,-3.090679672152497,377264154.28732795
