Airport,Model,Window,RMSE,MAE,R2,MAPE
BCD,V08_Lite,3,10780.38218246459,6747.14404296875,-0.022972822189331055,38.506141662597656
BPA,V01_Simple,3,0.0,0.0,1.0,
BSO,V01_Simple,3,0.0,0.0,1.0,
BXU,V08_Lite,3,9258.76104022563,7901.14404296875,-0.026826143264770508,61.605125427246094
CBO,V01_Simple,3,0.0,0.0,1.0,
CEB,V01_Simple,3,32230.445234281204,20551.048828125,0.14280962944030762,28.558116912841797
CGM,V09_BiDeep,3,868.5343977068496,694.8877563476562,-0.6333937644958496,50.46321105957031
CGY,V09_BiDeep,3,12917.112990138316,10203.2451171875,0.07727086544036865,48.411495208740234
CRK,V10_Mixed,3,9048.007957556183,7768.42529296875,0.2567034959793091,52.60096740722656
CRM,V01_Simple,3,0.0,0.0,1.0,
CYP,V09_BiDeep,3,449.9431387686671,323.7314147949219,0.18194401264190674,1591755392.0
CYZ,V10_Mixed,3,2990.862250254933,2465.50732421875,0.22017055749893188,1059496832.0
DGT,V05_Bidir,3,6094.4781564954355,4813.1171875,-0.09667038917541504,47.712059020996094
DPL,V08_Lite,3,1977.4520221739895,1553.177001953125,0.196050226688385,34.73969268798828
DRP,V09_BiDeep,3,8376.65374717136,6888.2802734375,-0.10382115840911865,47.01387405395508
DVO,V08_Lite,3,24877.821126457195,17079.279296875,0.1417713165283203,43.17627716064453
ENI,V03_Wide,3,10092.170826933123,7111.2021484375,-0.9815388917922974,99.93017578125
EUQ,V01_Simple,3,0.0,0.0,1.0,
GES,V08_Lite,3,7807.614232273519,5736.3671875,0.11735570430755615,35.252708435058594
IAO,V05_Bidir,3,3388.678651037894,2919.8359375,0.08047252893447876,67.02616882324219
ILO,V08_Lite,3,9472.215369173147,7758.625,0.49852555990219116,18.210268020629883
KLO,V09_BiDeep,3,1585.2967387842568,981.6392211914062,-0.11142098903656006,79.24128723144531
LAO,V06_Pyramid,3,881.7754816278348,559.5664672851562,-0.25625157356262207,17.826751708984375
LGP,V01_Simple,12,0.01315841157242598,0.013158412650227547,0.0,
MBT,V06_Pyramid,6,1388.6511891040168,1204.4200439453125,-5.083784580230713,61.65503692626953
MNL,V08_Lite,3,136092.7081661615,99665.375,-0.05241048336029053,38.22843551635742
MPH,V05_Bidir,3,18238.465724945177,13235.568359375,0.06544739007949829,40.34852981567383
OZC,V05_Bidir,3,3437.3744340702833,2151.778076171875,-0.10984790325164795,129.36830139160156
PAG,V08_Lite,3,4359.22493110874,2599.19580078125,-0.08847391605377197,2200699136.0
PPS,V05_Bidir,3,9347.796745757794,7783.57421875,0.2982602119445801,22.59334373474121
RXS,V08_Lite,3,3728.132106028433,2384.325927734375,-0.06754040718078613,723270400.0
SJI,V01_Simple,12,2133.3937751854437,1789.182373046875,-2.3709018230438232,99.75603485107422
SUG,V04_Triple,6,743.0447076051346,595.4078979492188,-0.0028810501098632812,135.8389129638672
SWL,V06_Pyramid,12,496.8410208507345,356.44268798828125,-2.49746036529541,40.808624267578125
TAC,V08_Lite,3,11946.287121947136,8471.8154296875,0.02506864070892334,1081.77099609375
TAG,V08_Lite,3,9001.524315359038,7384.25341796875,0.1691838502883911,34.62803649902344
TBH,V01_Simple,3,0.0,0.0,1.0,
TUG,V09_BiDeep,3,8707.83095839601,6641.56982421875,0.06228750944137573,645947712.0
TWT,V08_Lite,12,1080.6464500473778,967.259765625,-7.226858139038086,4.679203987121582
USU,V05_Bidir,3,3347.287110482159,2659.903564453125,0.0319209098815918,40.918460845947266
VRC,V01_Simple,3,2047.274468653385,1303.2818603515625,-0.3584533929824829,77.61294555664062
WNP,V09_BiDeep,3,1196.282523068861,894.7318725585938,-0.010407686233520508,925602688.0
ZAM,V01_Simple,3,7888.393752849815,6510.34619140625,-0.3833024501800537,47.24097442626953
