Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry
CEB-MBT,CEB,MBT,2022,10,0,0,0,3321.96,10000,823,1,0.0056,0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606,1909,7517450,4631579,386,93,0
CEB-MNL,CEB,MNL,2022,10,32039.928,59.93,4464.57,3321.96,3770.31,823,3440,0.0056,0.1691,0.5096,0.5725,1.891,1.9891,0.0813,0.1717,2606,4565,7517450,7348669,386,1351,1
CEB-MPH,CEB,MPH,2022,10,4552.536,87.82,7860.7,3321.96,3437.64,823,386,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606,2618,7517450,5909568,386,147,1
CEB-OZC,CEB,OZC,2022,10,0,0,0,3321.96,10000,823,37,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.0078,2606,1573,7517450,2941319,386,135,0
CEB-PAG,CEB,PAG,2022,10,546.912,100,10000,3321.96,8183.56,823,40,0.0056,0.1565,0.5096,0.0837,1.891,1.9399,0.0813,0.0091,2606,1263,7517450,1953463,386,64,1
CEB-PPS,CEB,PPS,2022,10,0,0,10000,3321.96,4145.35,823,158,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606,1095,7517450,2810208,386,51,0
CEB-SJI,CEB,SJI,2022,10,0,0,0,3321.96,0,823,0,0.0056,0.225,0.5096,0.0171,1.891,1.9857,0.0813,0.0183,2606,1095,7517450,2810208,386,51,0
CEB-SUG,CEB,SUG,2022,10,0,0,0,3321.96,0,823,0,0.0056,0.0282,0.5096,0.0533,1.891,1.8999,0.0813,0.0128,2606,920,7517450,1728856,386,47,0
CEB-TAC,CEB,TAC,2022,10,60.768,26.09,6143.38,3321.96,3179.68,823,14,0.0056,0.0177,0.5096,0.1266,1.891,1.7168,0.0813,0.1699,2606,1528,7517450,1695713,386,103,1
CEB-TAG,CEB,TAG,2022,10,0,0,0,3321.96,3446.22,823,173,0.0056,0.0022,0.5096,0.746,1.891,1.9782,0.0813,0.0037,2606,2606,7517450,7517450,386,386,0
CEB-USU,CEB,USU,2022,10,1458.432,66.16,5522.29,3321.96,5642.58,823,39,0.0056,0.0053,0.5096,0.0456,1.891,1.9757,0.0813,0.0016,2606,1095,7517450,2810208,386,51,1
CEB-ZAM,CEB,ZAM,2022,10,0,0,0,3321.96,0,823,0,0.0056,0.0394,0.5096,0.0863,1.891,1.405,0.0813,0.2669,2606,1263,7517450,1953463,386,64,0
CGM-CEB,CGM,CEB,2022,10,0,0,0,0,2867.88,0,908,0.0017,0.0056,0.0699,0.5096,1.9936,1.891,0.0058,0.0813,1573,2606,2941319,7517450,135,386,0
CGY-CEB,CGY,CEB,2022,10,5772.96,70.05,5804,3419.79,2867.88,323,908,0.072,0.0056,0.0369,0.5096,1.9531,1.891,0.0014,0.0813,1573,2606,2941319,7517450,135,386,1
CGY-DVO,CGY,DVO,2022,10,60.768,100,10000,3419.79,5046.04,323,350,0.072,0.6037,0.0369,0.4554,1.9531,1.7601,0.0014,0.1592,1573,1837,2941319,4116016,135,205,1
CGY-ILO,CGY,ILO,2022,10,0,0,0,3419.79,3287.93,323,332,0.072,2,0.0369,0.001,1.9531,1.9149,0.0014,0.0007,1573,2618,2941319,5909568,135,147,0
CGY-MNL,CGY,MNL,2022,10,16245.312,50.7,4384.32,3419.79,3770.31,323,3440,0.072,0.1691,0.0369,0.5725,1.9531,1.9891,0.0014,0.1717,1573,4565,2941319,7348669,135,1351,1
CGY-TAC,CGY,TAC,2022,10,0,0,0,3419.79,3179.68,323,14,0.072,0.0177,0.0369,0.1266,1.9531,1.7168,0.0014,0.1699,1573,1528,2941319,1695713,135,103,0
CRK-BSO,CRK,BSO,2022,10,0,0,0,10000,10000,10,23,0.0065,0.0348,0.1865,0.2377,1.2661,1.996,0.1108,0.0006,3779,1216,5691259,1113791,243,46,0
CRK-CEB,CRK,CEB,2022,10,607.68,100,10000,10000,2867.88,10,908,0.0065,0.0056,0.1865,0.5096,1.2661,1.891,0.1108,0.0813,3779,2606,5691259,7517450,243,386,1
CRK-DVO,CRK,DVO,2022,10,0,0,0,10000,5046.04,10,350,0.0065,0.6037,0.1865,0.4554,1.2661,1.7601,0.1108,0.1592,3779,1837,5691259,4116016,243,205,0
CRK-ENI,CRK,ENI,2022,10,0,0,0,10000,0,10,0,0.0065,0.0141,0.1865,0.2391,1.2661,1.9942,0.1108,0.0021,3779,1095,5691259,2810208,243,51,0
CRK-IAO,CRK,IAO,2022,10,0,0,0,10000,5291.01,10,153,0.0065,0.0426,0.1865,0,1.2661,1.977,0.1108,0.0025,3779,920,5691259,1728856,243,47,0
CRK-ILO,CRK,ILO,2022,10,0,0,0,10000,3287.93,10,332,0.0065,2,0.1865,0.001,1.2661,1.9149,0.1108,0.0007,3779,2618,5691259,5909568,243,147,0
CRK-KLO,CRK,KLO,2022,10,0,0,0,10000,8715.81,10,87,0.0065,0.0773,0.1865,0.1044,1.2661,1.8404,0.1108,0.0029,3779,2618,5691259,5909568,243,147,0
CRK-MBT,CRK,MBT,2022,10,0,0,0,10000,10000,10,1,0.0065,0,0.1865,0.052,1.2661,1.9706,0.1108,0.0011,3779,1909,5691259,4631579,243,93,0
CRK-MNL,CRK,MNL,2022,10,0,0,0,10000,3770.31,10,3440,0.0065,0.1691,0.1865,0.5725,1.2661,1.9891,0.1108,0.1717,3779,4565,5691259,7348669,243,1351,0
CRK-MPH,CRK,MPH,2022,10,0,0,0,10000,3437.64,10,386,0.0065,0.0902,0.1865,1.3168,1.2661,1.9746,0.1108,0.0014,3779,2618,5691259,5909568,243,147,0
