Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry
MNL-LAO,MNL,LAO,2023,4,0,0,10000,3820.82,10000,4764,51,0.1691,0.1189,0.5725,0.4868,1.9891,1.9367,0.1717,0.0129,4565,1736,7348669,1857396,1351,58,0
MNL-LGP,MNL,LGP,2023,4,0,0,0,3820.82,0,4764,0,0.1691,2,0.5725,1.1444,1.9891,1.9183,0.1717,0.0098,4565,1909,7348669,4631579,1351,93,0
MNL-MBT,MNL,MBT,2023,4,0,0,0,3820.82,0,4764,0,0.1691,0,0.5725,0.052,1.9891,1.9706,0.1717,0.0011,4565,1909,7348669,4631579,1351,93,0
MNL-MPH,MNL,MPH,2023,4,42873.756,56.43,3928.92,3820.82,4064.68,4764,622,0.1691,0.0902,0.5725,1.3168,1.9891,1.9746,0.1717,0.0014,4565,2618,7348669,5909568,1351,147,1
MNL-OZC,MNL,OZC,2023,4,7014.06,69.23,5739.59,3820.82,4390.46,4764,94,0.1691,0.0094,0.5725,0.069,1.9891,1.9415,0.1717,0.0078,4565,1573,7348669,2941319,1351,135,1
MNL-PAG,MNL,PAG,2023,4,8416.872,100,10000,3820.82,6442.87,4764,96,0.1691,0.1565,0.5725,0.0837,1.9891,1.9399,0.1717,0.0091,4565,1263,7348669,1953463,1351,64,1
MNL-PPS,MNL,PPS,2023,4,25123.24,50.29,3763.12,3820.82,3726.33,4764,355,0.1691,0.0354,0.5725,0.2292,1.9891,1.3649,0.1717,0.1602,4565,1095,7348669,2810208,1351,51,1
MNL-RXS,MNL,RXS,2023,4,5922.984,49.76,3869.31,3820.82,3869.22,4764,77,0.1691,0.0162,0.5725,0.1767,1.9891,1.9047,0.1717,0.0026,4565,2618,7348669,5909568,1351,147,1
MNL-SJI,MNL,SJI,2023,4,0,0,0,3820.82,0,4764,0,0.1691,0.225,0.5725,0.0171,1.9891,1.9857,0.1717,0.0183,4565,1095,7348669,2810208,1351,51,0
MNL-TAC,MNL,TAC,2023,4,16054.404,44.98,3634.52,3820.82,3326.58,4764,274,0.1691,0.0177,0.5725,0.1266,1.9891,1.7168,0.1717,0.1699,4565,1528,7348669,1695713,1351,103,1
MNL-TAG,MNL,TAG,2023,4,21055.588,55.21,4060.25,3820.82,3975.76,4764,244,0.1691,0.0022,0.5725,0.746,1.9891,1.9782,0.1717,0.0037,4565,2606,7348669,7517450,1351,386,1
MNL-TUG,MNL,TUG,2023,4,9352.08,100,10000,3820.82,10000,4764,60,0.1691,0.1667,0.5725,0.1568,1.9891,1.6703,0.1717,0.0064,4565,1216,7348669,1113791,1351,46,1
MNL-USU,MNL,USU,2023,4,1689.408,51.43,5004.09,3820.82,5205.01,4764,148,0.1691,0.0053,0.5725,0.0456,1.9891,1.9757,0.1717,0.0016,4565,1095,7348669,2810208,1351,51,1
MNL-VRC,MNL,VRC,2023,4,4520.172,100,10000,3820.82,10000,4764,29,0.1691,0.0996,0.5725,0.0298,1.9891,1.9966,0.1717,0.0009,4565,1909,7348669,4631579,1351,93,1
MNL-WNP,MNL,WNP,2023,4,3187.752,100,10000,3820.82,10000,4764,53,0.1691,1.1518,0.5725,0.0089,1.9891,1.909,0.1717,0.0013,4565,1909,7348669,4631579,1351,93,1
MNL-ZAM,MNL,ZAM,2023,4,0,0,10000,3820.82,6449.7,4764,78,0.1691,0.0394,0.5725,0.0863,1.9891,1.405,0.1717,0.2669,4565,1263,7348669,1953463,1351,64,0
MPH-CEB,MPH,CEB,2023,4,7335.852,58.81,3992.09,3437.44,2987.2,753,1740,0.0902,0.0056,1.3168,0.5096,1.9746,1.891,0.0014,0.0813,2618,2606,5909568,7517450,147,386,1
MPH-CRK,MPH,CRK,2023,4,2338.02,100,10000,3437.44,4625.34,753,39,0.0902,0.0065,1.3168,0.1865,1.9746,1.2661,0.0014,0.1108,2618,3779,5909568,5691259,147,243,1
MPH-DVO,MPH,DVO,2023,4,0,0,0,3437.44,4924.53,753,668,0.0902,0.6037,1.3168,0.4554,1.9746,1.7601,0.0014,0.1592,2618,1837,5909568,4116016,147,205,0
MPH-ENI,MPH,ENI,2023,4,0,0,0,3437.44,0,753,0,0.0902,0.0141,1.3168,0.2391,1.9746,1.9942,0.0014,0.0021,2618,1095,5909568,2810208,147,51,0
MPH-ILO,MPH,ILO,2023,4,0,0,0,3437.44,3211.83,753,520,0.0902,2,1.3168,0.001,1.9746,1.9149,0.0014,0.0007,2618,2618,5909568,5909568,147,147,0
MPH-KLO,MPH,KLO,2023,4,0,0,0,3437.44,6186.72,753,117,0.0902,0.0773,1.3168,0.1044,1.9746,1.8404,0.0014,0.0029,2618,2618,5909568,5909568,147,147,0
MPH-MNL,MPH,MNL,2023,4,42989.4,46.64,3436.46,3437.44,3712.79,753,5219,0.0902,0.1691,1.3168,0.5725,1.9746,1.9891,0.0014,0.1717,2618,4565,5909568,7348669,147,1351,1
OZC-CEB,OZC,CEB,2023,4,3077.136,100,10000,3958.16,2987.2,115,1740,0.0094,0.0056,0.069,0.5096,1.9415,1.891,0.0078,0.0813,1573,2606,2941319,7517450,135,386,1
OZC-MNL,OZC,MNL,2023,4,7014.06,70.31,5824.99,3958.16,3712.79,115,5219,0.0094,0.1691,0.069,0.5725,1.9415,1.9891,0.0078,0.1717,1573,4565,2941319,7348669,135,1351,1
PAG-CEB,PAG,CEB,2023,4,2594.448,100,10000,6362.42,2987.2,96,1740,0.1565,0.0056,0.0837,0.5096,1.9399,1.891,0.0091,0.0813,1263,2606,1953463,7517450,64,386,1
PAG-MNL,PAG,MNL,2023,4,8261.004,100,10000,6362.42,3712.79,96,5219,0.1565,0.1691,0.0837,0.5725,1.9399,1.9891,0.0091,0.1717,1263,4565,1953463,7348669,64,1351,1
PPS-CEB,PPS,CEB,2023,4,1870.416,63.34,5355.91,3865.33,2987.2,341,1740,0.0354,0.0056,0.2292,0.5096,1.3649,1.891,0.1602,0.0813,1095,2606,2810208,7517450,51,386,1
PPS-CRK,PPS,CRK,2023,4,0,0,0,3865.33,4625.34,341,39,0.0354,0.0065,0.2292,0.1865,1.3649,1.2661,0.1602,0.1108,1095,3779,2810208,5691259,51,243,0
PPS-DVO,PPS,DVO,2023,4,0,0,0,3865.33,4924.53,341,668,0.0354,0.6037,0.2292,0.4554,1.3649,1.7601,0.1602,0.1592,1095,1837,2810208,4116016,51,205,0
PPS-ENI,PPS,ENI,2023,4,0,0,0,3865.33,0,341,0,0.0354,0.0141,0.2292,0.2391,1.3649,1.9942,0.1602,0.0021,1095,1095,2810208,2810208,51,51,0
PPS-ILO,PPS,ILO,2023,4,0,0,0,3865.33,3211.83,341,520,0.0354,2,0.2292,0.001,1.3649,1.9149,0.1602,0.0007,1095,2618,2810208,5909568,51,147,0
PPS-MNL,PPS,MNL,2023,4,25062.904,48.18,3809.49,3865.33,3712.79,341,5219,0.0354,0.1691,0.2292,0.5725,1.3649,1.9891,0.1602,0.1717,1095,4565,2810208,7348669,51,1351,1
RXS-MNL,RXS,MNL,2023,4,5922.984,49.12,3856.46,3856.27,3712.79,78,5219,0.0162,0.1691,0.1767,0.5725,1.9047,1.9891,0.0026,0.1717,2618,4565,5909568,7348669,147,1351,1
SJI-CRK,SJI,CRK,2023,4,0,0,0,0,4625.34,0,39,0.225,0.0065,0.0171,0.1865,1.9857,1.2661,0.0183,0.1108,1095,3779,2810208,5691259,51,243,0
SJI-MNL,SJI,MNL,2023,4,0,0,0,0,3712.79,0,5219,0.225,0.1691,0.0171,0.5725,1.9857,1.9891,0.0183,0.1717,1095,4565,2810208,7348669,51,1351,0
SUG-BXU,SUG,BXU,2023,4,0,0,0,10000,5346.91,8,185,0.0282,0.018,0.0533,0.0452,1.8999,1.8643,0.0128,0.2916,920,920,1728856,1728856,47,47,0
SUG-CEB,SUG,CEB,2023,4,482.688,100,10000,10000,2987.2,8,1740,0.0282,0.0056,0.0533,0.5096,1.8999,1.891,0.0128,0.0813,920,2606,1728856,7517450,47,386,1
SUG-TAG,SUG,TAG,2023,4,0,0,0,10000,3975.76,8,244,0.0282,0.0022,0.0533,0.746,1.8999,1.9782,0.0128,0.0037,920,2606,1728856,7517450,47,386,0
SWL-CEB,SWL,CEB,2023,4,0,0,0,0,2987.2,0,1740,0,0.0056,0.0325,0.5096,1.9923,1.891,0.0009,0.0813,1095,2606,2810208,7517450,51,386,0
TAC-CEB,TAC,CEB,2023,4,2594.448,71.67,5939.18,3231.33,2987.2,372,1740,0.0177,0.0056,0.1266,0.5096,1.7168,1.891,0.1699,0.0813,1528,2606,1695713,7517450,103,386,1
TAC-DVO,TAC,DVO,2023,4,0,0,0,3231.33,4924.53,372,668,0.0177,0.6037,0.1266,0.4554,1.7168,1.7601,0.1699,0.1592,1528,1837,1695713,4116016,103,205,0
TAC-ILO,TAC,ILO,2023,4,0,0,0,3231.33,3211.83,372,520,0.0177,2,0.1266,0.001,1.7168,1.9149,0.1699,0.0007,1528,2618,1695713,5909568,103,147,0
TAC-MNL,TAC,MNL,2023,4,19639.368,40.51,3615.23,3231.33,3712.79,372,5219,0.0177,0.1691,0.1266,0.5725,1.7168,1.9891,0.1699,0.1717,1528,4565,1695713,7348669,103,1351,1
TAG-CEB,TAG,CEB,2023,4,0,0,0,4288.14,2987.2,283,1740,0.0022,0.0056,0.746,0.5096,1.9782,1.891,0.0037,0.0813,2606,2606,7517450,7517450,386,386,0
TAG-CRK,TAG,CRK,2023,4,0,0,0,4288.14,4625.34,283,39,0.0022,0.0065,0.746,0.1865,1.9782,1.2661,0.0037,0.1108,2606,3779,7517450,5691259,386,243,0
TAG-DRP,TAG,DRP,2023,4,0,0,0,4288.14,5014.46,283,131,0.0022,2,0.746,0.0165,1.9782,1.3268,0.0037,0.0008,2606,1909,7517450,4631579,386,93,0
TAG-DVO,TAG,DVO,2023,4,0,0,10000,4288.14,4924.53,283,668,0.0022,0.6037,0.746,0.4554,1.9782,1.7601,0.0037,0.1592,2606,1837,7517450,4116016,386,205,0
TAG-ENI,TAG,ENI,2023,4,0,0,0,4288.14,0,283,0,0.0022,0.0141,0.746,0.2391,1.9782,1.9942,0.0037,0.0021,2606,1095,7517450,2810208,386,51,0
TAG-ILO,TAG,ILO,2023,4,0,0,0,4288.14,3211.83,283,520,0.0022,2,0.746,0.001,1.9782,1.9149,0.0037,0.0007,2606,2618,7517450,5909568,386,147,0
TAG-MNL,TAG,MNL,2023,4,26837.788,59.42,4396.01,4288.14,3712.79,283,5219,0.0022,0.1691,0.746,0.5725,1.9782,1.9891,0.0037,0.1717,2606,4565,7517450,7348669,386,1351,1
TBH-MNL,TBH,MNL,2023,4,0,0,0,0,3712.79,0,5219,0,0.1691,0.0036,0.5725,1.9984,1.9891,0.0002,0.1717,1095,4565,2810208,7348669,51,1351,0
TBH-MPH,TBH,MPH,2023,4,0,0,0,0,4064.68,0,622,0,0.0902,0.0036,1.3168,1.9984,1.9746,0.0002,0.0014,1095,2618,2810208,5909568,51,147,0
TUG-MNL,TUG,MNL,2023,4,9040.344,100,10000,10000,3712.79,58,5219,0.1667,0.1691,0.1568,0.5725,1.6703,1.9891,0.0064,0.1717,1216,4565,1113791,7348669,46,1351,1
TWT-CBO,TWT,CBO,2023,4,0,0,10000,5981.32,10000,44,31,0.007,0.165,0,0.0388,1.9938,1.9501,0.0007,0.0101,940,940,1878952,1878952,6,6,0
TWT-ZAM,TWT,ZAM,2023,4,4520.172,76.32,6385.48,5981.32,6449.7,44,78,0.007,0.0394,0,0.0863,1.9938,1.405,0.0007,0.2669,940,1263,1878952,1953463,6,64,1
USU-CEB,USU,CEB,2023,4,2353.104,46.77,5020.87,5179.74,2987.2,210,1740,0.0053,0.0056,0.0456,0.5096,1.9757,1.891,0.0016,0.0813,1095,2606,2810208,7517450,51,386,1
USU-CRK,USU,CRK,2023,4,0,0,10000,5179.74,4625.34,210,39,0.0053,0.0065,0.0456,0.1865,1.9757,1.2661,0.0016,0.1108,1095,3779,2810208,5691259,51,243,0
USU-ENI,USU,ENI,2023,4,0,0,0,5179.74,0,210,0,0.0053,0.0141,0.0456,0.2391,1.9757,1.9942,0.0016,0.0021,1095,1095,2810208,2810208,51,51,0
USU-MNL,USU,MNL,2023,4,5007.888,76.5,6404.5,5179.74,3712.79,210,5219,0.0053,0.1691,0.0456,0.5725,1.9757,1.9891,0.0016,0.1717,1095,4565,2810208,7348669,51,1351,1
VRC-MNL,VRC,MNL,2023,4,0,0,0,0,3712.79,0,5219,0.0996,0.1691,0.0298,0.5725,1.9966,1.9891,0.0009,0.1717,1909,4565,4631579,7348669,93,1351,0
WNP-MNL,WNP,MNL,2023,4,3011.772,100,10000,10000,3712.79,50,5219,1.1518,0.1691,0.0089,0.5725,1.909,1.9891,0.0013,0.1717,1909,4565,4631579,7348669,93,1351,1
ZAM-CEB,ZAM,CEB,2023,4,4520.172,81.5,6984.5,6290.42,2987.2,235,1740,0.0394,0.0056,0.0863,0.5096,1.405,1.891,0.2669,0.0813,1263,2606,1953463,7517450,64,386,1
ZAM-DVO,ZAM,DVO,2023,4,0,0,0,6290.42,4924.53,235,668,0.0394,0.6037,0.0863,0.4554,1.405,1.7601,0.2669,0.1592,1263,1837,1953463,4116016,64,205,0
ZAM-GES,ZAM,GES,2023,4,0,0,0,6290.42,5671.64,235,179,0.0394,0.0677,0.0863,0.0731,1.405,1.8292,0.2669,0.1054,1263,1625,1953463,1705910,64,82,0
ZAM-ILO,ZAM,ILO,2023,4,0,0,0,6290.42,3211.83,235,520,0.0394,2,0.0863,0.001,1.405,1.9149,0.2669,0.0007,1263,2618,1953463,5909568,64,147,0
ZAM-MNL,ZAM,MNL,2023,4,17358.332,73.09,6066.3,6290.42,3712.79,235,5219,0.0394,0.1691,0.0863,0.5725,1.405,1.9891,0.2669,0.1717,1263,4565,1953463,7348669,64,1351,1
ZAM-TWT,ZAM,TWT,2023,4,4676.04,78.95,6676.21,6290.42,6148.74,235,45,0.0394,0.007,0.0863,0,1.405,1.9938,0.2669,0.0007,1263,940,1953463,1878952,64,6,1
BCD-CEB,BCD,CEB,2023,5,1181.952,36.5,5364.5,3613.49,3010.62,429,1840,0.0525,0.0056,0.1407,0.5096,1.7466,1.891,0.1829,0.0813,2618,2606,5909568,7517450,147,386,1
BCD-DVO,BCD,DVO,2023,5,3772.224,100,10000,3613.49,4873.63,429,713,0.0525,0.6037,0.1407,0.4554,1.7466,1.7601,0.1829,0.1592,2618,1837,5909568,4116016,147,205,1
BCD-MNL,BCD,MNL,2023,5,29061.504,47.95,3658.6,3613.49,3632.94,429,5470,0.0525,0.1691,0.1407,0.5725,1.7466,1.9891,0.1829,0.1717,2618,4565,5909568,7348669,147,1351,1
BPA-CEB,BPA,CEB,2023,5,0,0,10000,10000,3010.62,8,1840,0,0.0056,0.0491,0.5096,1.9298,1.891,0.0072,0.0813,1528,2606,1695713,7517450,103,386,0
BSO-CRK,BSO,CRK,2023,5,0,0,0,0,8803.94,0,89,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216,3779,1113791,5691259,46,243,0
BSO-MNL,BSO,MNL,2023,5,0,0,0,0,3632.94,0,5470,0.0348,0.1691,0.2377,0.5725,1.996,1.9891,0.0006,0.1717,1216,4565,1113791,7348669,46,1351,0
BXU-CEB,BXU,CEB,2023,5,3110.4,76.79,6435.41,4702.27,3010.62,221,1840,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920,2606,1728856,7517450,47,386,1
BXU-MNL,BXU,MNL,2023,5,17838.144,72.2,5985.68,4702.27,3632.94,221,5470,0.018,0.1691,0.0452,0.5725,1.8643,1.9891,0.2916,0.1717,920,4565,1728856,7348669,47,1351,1
CBO-CEB,CBO,CEB,2023,5,0,0,10000,10000,3010.62,44,1840,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940,2606,1878952,7517450,6,386,0
CBO-MNL,CBO,MNL,2023,5,0,0,10000,10000,3632.94,44,5470,0.165,0.1691,0.0388,0.5725,1.9501,1.9891,0.0101,0.1717,940,4565,1878952,7348669,6,1351,0
CBO-TAG,CBO,TAG,2023,5,0,0,0,10000,3859.89,44,283,0.165,0.0022,0.0388,0.746,1.9501,1.9782,0.0101,0.0037,940,2606,1878952,7517450,6,386,0
CBO-TWT,CBO,TWT,2023,5,0,0,10000,10000,5100.41,44,46,0.165,0.007,0.0388,0,1.9501,1.9938,0.0101,0.0007,940,940,1878952,1878952,6,6,0
CEB-BAG,CEB,BAG,2023,5,0,0,0,3182.05,0,1818,0,0.0056,0.2033,0.5096,0.5139,1.891,1.4349,0.0813,0.1274,2606,627,7517450,1983511,386,38,0
CEB-BCD,CEB,BCD,2023,5,1244.16,35.79,5403.85,3182.05,3542.34,1818,424,0.0056,0.0525,0.5096,0.1407,1.891,1.7466,0.0813,0.1829,2606,2618,7517450,5909568,386,147,1
CEB-BPA,CEB,BPA,2023,5,0,0,10000,3182.05,10000,1818,9,0.0056,0,0.5096,0.0491,1.891,1.9298,0.0813,0.0072,2606,1528,7517450,1695713,386,103,0
CEB-BXU,CEB,BXU,2023,5,2052.864,69.96,5796.8,3182.05,5006.33,1818,203,0.0056,0.018,0.5096,0.0452,1.891,1.8643,0.0813,0.2916,2606,920,7517450,1728856,386,47,1
CEB-CBO,CEB,CBO,2023,5,0,0,10000,3182.05,10000,1818,44,0.0056,0.165,0.5096,0.0388,1.891,1.9501,0.0813,0.0101,2606,940,7517450,1878952,386,6,0
CEB-CGM,CEB,CGM,2023,5,0,0,0,3182.05,0,1818,0,0.0056,0.0017,0.5096,0.0699,1.891,1.9936,0.0813,0.0058,2606,1573,7517450,2941319,386,135,0
CEB-CGY,CEB,CGY,2023,5,6754.752,72.9,5802.57,3182.05,2949.79,1818,455,0.0056,0.072,0.5096,0.0369,1.891,1.9531,0.0813,0.0014,2606,1573,7517450,2941319,386,135,1
CEB-CRK,CEB,CRK,2023,5,2571.264,100,10000,3182.05,8803.94,1818,89,0.0056,0.0065,0.5096,0.1865,1.891,1.2661,0.0813,0.1108,2606,3779,7517450,5691259,386,243,1
CEB-CRM,CEB,CRM,2023,5,0,0,0,3182.05,10000,1818,18,0.0056,0.0586,0.5096,0.0541,1.891,1.9967,0.0813,0.0006,2606,1528,7517450,1695713,386,103,0
CEB-CYP,CEB,CYP,2023,5,995.328,100,10000,3182.05,5000.02,1818,33,0.0056,0.0009,0.5096,0.3387,1.891,1.9297,0.0813,0.0019,2606,1528,7517450,1695713,386,103,1
CEB-DGT,CEB,DGT,2023,5,124.416,100,10000,3182.05,5164.81,1818,138,0.0056,0,0.5096,0.1754,1.891,1.9427,0.0813,0.0084,2606,2606,7517450,7517450,386,386,1
CEB-DPL,CEB,DPL,2023,5,0,0,0,3182.05,5321.9,1818,67,0.0056,0.0248,0.5096,0.2653,1.891,1.9409,0.0813,0.0123,2606,1263,7517450,1953463,386,64,0
CEB-DRP,CEB,DRP,2023,5,0,0,0,3182.05,5000.79,1818,135,0.0056,2,0.5096,0.0165,1.891,1.3268,0.0813,0.0008,2606,1909,7517450,4631579,386,93,0
CEB-DVO,CEB,DVO,2023,5,14302.656,65.09,5455.42,3182.05,4873.63,1818,713,0.0056,0.6037,0.5096,0.4554,1.891,1.7601,0.0813,0.1592,2606,1837,7517450,4116016,386,205,1
CEB-ENI,CEB,ENI,2023,5,0,0,0,3182.05,0,1818,0,0.0056,0.0141,0.5096,0.2391,1.891,1.9942,0.0813,0.0021,2606,1095,7517450,2810208,386,51,0
CEB-GES,CEB,GES,2023,5,5142.528,100,10000,3182.05,5599.27,1818,174,0.0056,0.0677,0.5096,0.0731,1.891,1.8292,0.0813,0.1054,2606,1625,7517450,1705910,386,82,1
CEB-IAO,CEB,IAO,2023,5,3919.104,54.36,5038.02,3182.05,5418.62,1818,222,0.0056,0.0426,0.5096,0,1.891,1.977,0.0813,0.0025,2606,920,7517450,1728856,386,47,1
CEB-ILO,CEB,ILO,2023,5,3608.064,56.65,5088.44,3182.05,3224.01,1818,519,0.0056,2,0.5096,0.001,1.891,1.9149,0.0813,0.0007,2606,2618,7517450,5909568,386,147,1
CEB-MBT,CEB,MBT,2023,5,0,0,0,3182.05,0,1818,0,0.0056,0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606,1909,7517450,4631579,386,93,0
CEB-MNL,CEB,MNL,2023,5,46656.864,38.25,3588.21,3182.05,3632.94,1818,5470,0.0056,0.1691,0.5096,0.5725,1.891,1.9891,0.0813,0.1717,2606,4565,7517450,7348669,386,1351,1
CEB-MPH,CEB,MPH,2023,5,5785.344,50.02,5000,3182.05,4140.98,1818,709,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606,2618,7517450,5909568,386,147,1
CEB-OZC,CEB,OZC,2023,5,1741.824,100,10000,3182.05,4357.66,1818,97,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.0078,2606,1573,7517450,2941319,386,135,1
CEB-PAG,CEB,PAG,2023,5,2363.904,100,10000,3182.05,6328.23,1818,84,0.0056,0.1565,0.5096,0.0837,1.891,1.9399,0.0813,0.0091,2606,1263,7517450,1953463,386,64,1
CEB-PPS,CEB,PPS,2023,5,1928.448,39.16,5235.01,3182.05,3572.53,1818,397,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606,1095,7517450,2810208,386,51,1
CEB-SJI,CEB,SJI,2023,5,0,0,0,3182.05,0,1818,0,0.0056,0.225,0.5096,0.0171,1.891,1.9857,0.0813,0.0183,2606,1095,7517450,2810208,386,51,0
CEB-SUG,CEB,SUG,2023,5,497.664,100,10000,3182.05,10000,1818,8,0.0056,0.0282,0.5096,0.0533,1.891,1.8999,0.0813,0.0128,2606,920,7517450,1728856,386,47,1
CEB-TAC,CEB,TAC,2023,5,1928.448,58.03,5128.96,3182.05,3404.32,1818,322,0.0056,0.0177,0.5096,0.1266,1.891,1.7168,0.0813,0.1699,2606,1528,7517450,1695713,386,103,1
CEB-TAG,CEB,TAG,2023,5,0,0,0,3182.05,3859.89,1818,283,0.0056,0.0022,0.5096,0.746,1.891,1.9782,0.0813,0.0037,2606,2606,7517450,7517450,386,386,0
CEB-USU,CEB,USU,2023,5,1804.032,34.62,5473.09,3182.05,5274.54,1818,157,0.0056,0.0053,0.5096,0.0456,1.891,1.9757,0.0813,0.0016,2606,1095,7517450,2810208,386,51,1
CEB-ZAM,CEB,ZAM,2023,5,3696.192,100,10000,3182.05,5385.8,1818,72,0.0056,0.0394,0.5096,0.0863,1.891,1.405,0.0813,0.2669,2606,1263,7517450,1953463,386,64,1
CGM-CEB,CGM,CEB,2023,5,0,0,0,0,3010.62,0,1840,0.0017,0.0056,0.0699,0.5096,1.9936,1.891,0.0058,0.0813,1573,2606,2941319,7517450,135,386,0
CGY-CEB,CGY,CEB,2023,5,6754.752,73.84,5882.97,2986.39,3010.62,477,1840,0.072,0.0056,0.0369,0.5096,1.9531,1.891,0.0014,0.0813,1573,2606,2941319,7517450,135,386,1
CGY-DVO,CGY,DVO,2023,5,1057.536,100,10000,2986.39,4873.63,477,713,0.072,0.6037,0.0369,0.4554,1.9531,1.7601,0.0014,0.1592,1573,1837,2941319,4116016,135,205,1
CGY-ILO,CGY,ILO,2023,5,0,0,0,2986.39,3224.01,477,519,0.072,2,0.0369,0.001,1.9531,1.9149,0.0014,0.0007,1573,2618,2941319,5909568,135,147,0
CGY-MNL,CGY,MNL,2023,5,22980.672,43.89,3664.14,2986.39,3632.94,477,5470,0.072,0.1691,0.0369,0.5725,1.9531,1.9891,0.0014,0.1717,1573,4565,2941319,7348669,135,1351,1
CGY-TAC,CGY,TAC,2023,5,0,0,0,2986.39,3404.32,477,322,0.072,0.0177,0.0369,0.1266,1.9531,1.7168,0.0014,0.1699,1573,1528,2941319,1695713,135,103,0
CRK-BSO,CRK,BSO,2023,5,0,0,0,9299.97,10000,107,27,0.0065,0.0348,0.1865,0.2377,1.2661,1.996,0.1108,0.0006,3779,1216,5691259,1113791,243,46,0
CRK-CEB,CRK,CEB,2023,5,6910.272,100,10000,9299.97,3010.62,107,1840,0.0065,0.0056,0.1865,0.5096,1.2661,1.891,0.1108,0.0813,3779,2606,5691259,7517450,243,386,1
CRK-DVO,CRK,DVO,2023,5,0,0,0,9299.97,4873.63,107,713,0.0065,0.6037,0.1865,0.4554,1.2661,1.7601,0.1108,0.1592,3779,1837,5691259,4116016,243,205,0
CRK-ENI,CRK,ENI,2023,5,0,0,0,9299.97,0,107,0,0.0065,0.0141,0.1865,0.2391,1.2661,1.9942,0.1108,0.0021,3779,1095,5691259,2810208,243,51,0
CRK-IAO,CRK,IAO,2023,5,0,0,0,9299.97,5418.62,107,222,0.0065,0.0426,0.1865,0,1.2661,1.977,0.1108,0.0025,3779,920,5691259,1728856,243,47,0
CRK-ILO,CRK,ILO,2023,5,0,0,0,9299.97,3224.01,107,519,0.0065,2,0.1865,0.001,1.2661,1.9149,0.1108,0.0007,3779,2618,5691259,5909568,243,147,0
CRK-KLO,CRK,KLO,2023,5,0,0,0,9299.97,6250,107,124,0.0065,0.0773,0.1865,0.1044,1.2661,1.8404,0.1108,0.0029,3779,2618,5691259,5909568,243,147,0
CRK-MBT,CRK,MBT,2023,5,0,0,0,9299.97,0,107,0,0.0065,0,0.1865,0.052,1.2661,1.9706,0.1108,0.0011,3779,1909,5691259,4631579,243,93,0
CRK-MNL,CRK,MNL,2023,5,0,0,0,9299.97,3632.94,107,5470,0.0065,0.1691,0.1865,0.5725,1.2661,1.9891,0.1108,0.1717,3779,4565,5691259,7348669,243,1351,0
CRK-MPH,CRK,MPH,2023,5,8678.016,100,10000,9299.97,4140.98,107,709,0.0065,0.0902,0.1865,1.3168,1.2661,1.9746,0.1108,0.0014,3779,2618,5691259,5909568,243,147,1
CRK-PPS,CRK,PPS,2023,5,0,0,0,9299.97,3572.53,107,397,0.0065,0.0354,0.1865,0.2292,1.2661,1.3649,0.1108,0.1602,3779,1095,5691259,2810208,243,51,0
CRK-SJI,CRK,SJI,2023,5,0,0,0,9299.97,0,107,0,0.0065,0.225,0.1865,0.0171,1.2661,1.9857,0.1108,0.0183,3779,1095,5691259,2810208,243,51,0
CRK-TAG,CRK,TAG,2023,5,0,0,0,9299.97,3859.89,107,283,0.0065,0.0022,0.1865,0.746,1.2661,1.9782,0.1108,0.0037,3779,2606,5691259,7517450,243,386,0
CRK-TBH,CRK,TBH,2023,5,0,0,0,9299.97,0,107,0,0.0065,0,0.1865,0.0036,1.2661,1.9984,0.1108,0.0002,3779,1095,5691259,2810208,243,51,0
CRK-USU,CRK,USU,2023,5,0,0,10000,9299.97,5274.54,107,157,0.0065,0.0053,0.1865,0.0456,1.2661,1.9757,0.1108,0.0016,3779,1095,5691259,2810208,243,51,0
CRM-CEB,CRM,CEB,2023,5,0,0,0,10000,3010.62,17,1840,0.0586,0.0056,0.0541,0.5096,1.9967,1.891,0.0006,0.0813,1528,2606,1695713,7517450,103,386,0
CRM-MNL,CRM,MNL,2023,5,0,0,10000,10000,3632.94,17,5470,0.0586,0.1691,0.0541,0.5725,1.9967,1.9891,0.0006,0.1717,1528,4565,1695713,7348669,103,1351,0
CYP-CEB,CYP,CEB,2023,5,995.328,100,10000,5004.08,3010.62,32,1840,0.0009,0.0056,0.3387,0.5096,1.9297,1.891,0.0019,0.0813,1528,2606,1695713,7517450,103,386,1
CYP-MNL,CYP,MNL,2023,5,0,0,10000,5004.08,3632.94,32,5470,0.0009,0.1691,0.3387,0.5725,1.9297,1.9891,0.0019,0.1717,1528,4565,1695713,7348669,103,1351,0
