Window,RMSE,MAE,R2,MAPE
3,9570.269277289239,6739.238337989186,-0.8691655987916991,845130300.6273407
6,11451.662257249818,8328.087345634955,-1.1381249242050704,914808683.6254191
12,13766.850345026296,10239.256846312503,-2.6593733409116433,1284819046.0299199
