DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
7/8/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),,9:45:00,10:17:00,11:15:00,Diverted to CRK,PR2688,Philippine Airlines
7/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:06:00,9:45:00,9:25:00,11:15:00,Landed 10:32 AM,PR2688,Philippine Airlines
7/6/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:10:00,9:45:00,9:38:00,11:15:00,Landed 10:49 AM,PR2688,Philippine Airlines
7/5/2025 0:00,,Angeles City (CRK),DH8D (RP-C5901),,4:36:00,,12:36:00,Landed 12:36 PM,PR2688,Philippine Airlines
7/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),,9:45:00,9:47:00,11:15:00,Diverted to CRK,PR2688,Philippine Airlines
7/4/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:10:00,9:45:00,9:46:00,11:15:00,Landed 10:56 AM,PR2688,Philippine Airlines
7/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:16:00,9:45:00,9:28:00,11:15:00,Landed 10:45 AM,PR2688,Philippine Airlines
7/1/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:10:00,9:45:00,9:44:00,11:15:00,Landed 10:54 AM,PR2688,Philippine Airlines
6/30/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:00:00,9:45:00,9:29:00,11:15:00,Landed 10:29 AM,PR2688,Philippine Airlines
6/29/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:15:00,9:45:00,9:53:00,11:15:00,Landed 11:08 AM,PR2688,Philippine Airlines
6/28/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:10:00,9:45:00,9:21:00,11:15:00,Landed 10:31 AM,PR2688,Philippine Airlines
6/27/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:10:00,9:45:00,9:50:00,11:15:00,Landed 11:01 AM,PR2688,Philippine Airlines
6/25/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:15:00,9:45:00,9:35:00,11:15:00,Landed 10:50 AM,PR2688,Philippine Airlines
6/24/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:11:00,9:45:00,9:40:00,11:15:00,Landed 10:51 AM,PR2688,Philippine Airlines
